,Medium-Low,Low,High,Medium-High
0,0.3,0.7,0.0,0.0
1,0.1,0.8,0.0,0.1
2,0.4,0.3,0.0,0.3
3,0.1,0.9,0.0,0.0
4,0.2,0.7,0.0,0.1
5,0.0,0.4,0.1,0.5
6,0.2,0.8,0.0,0.0
7,0.1,0.9,0.0,0.0
8,0.3,0.7,0.0,0.0
9,0.2,0.8,0.0,0.0
10,0.2,0.5,0.1,0.2
11,0.1,0.9,0.0,0.0
12,0.4,0.5,0.0,0.1
13,0.1,0.5,0.0,0.4
14,0.0,1.0,0.0,0.0
15,0.6,0.4,0.0,0.0
16,0.1,0.7,0.0,0.2
17,0.2,0.8,0.0,0.0
18,0.0,1.0,0.0,0.0
19,0.0,1.0,0.0,0.0
20,0.5,0.3,0.0,0.2
21,0.2,0.7,0.1,0.0
22,0.1,0.7,0.1,0.1
23,0.4,0.2,0.1,0.3
24,0.1,0.8,0.0,0.1
25,0.2,0.7,0.0,0.1
26,0.0,0.9,0.0,0.1
27,0.5,0.5,0.0,0.0
28,0.4,0.5,0.0,0.1
29,0.4,0.5,0.0,0.1
30,0.1,0.9,0.0,0.0
31,0.4,0.6,0.0,0.0
32,0.0,1.0,0.0,0.0
33,0.3,0.7,0.0,0.0
34,0.7,0.1,0.1,0.1
35,0.2,0.8,0.0,0.0
36,0.2,0.6,0.1,0.1
37,0.3,0.6,0.1,0.0
38,0.3,0.7,0.0,0.0
39,0.0,1.0,0.0,0.0
40,0.3,0.7,0.0,0.0
41,0.4,0.5,0.0,0.1
42,0.1,0.9,0.0,0.0
43,0.3,0.7,0.0,0.0
44,0.6,0.1,0.0,0.3
45,0.3,0.0,0.0,0.7
46,0.1,0.9,0.0,0.0
47,0.4,0.4,0.0,0.2
48,0.0,1.0,0.0,0.0
49,0.2,0.8,0.0,0.0
50,0.3,0.6,0.0,0.1
51,0.4,0.6,0.0,0.0
52,0.4,0.3,0.0,0.3
53,0.0,1.0,0.0,0.0
54,0.3,0.7,0.0,0.0
55,0.3,0.7,0.0,0.0
56,0.4,0.5,0.1,0.0
57,0.2,0.8,0.0,0.0
58,0.4,0.3,0.0,0.3
59,0.3,0.6,0.0,0.1
60,0.2,0.7,0.0,0.1
61,0.1,0.9,0.0,0.0
62,0.4,0.3,0.0,0.3
63,0.2,0.8,0.0,0.0
64,0.1,0.8,0.0,0.1
65,0.6,0.4,0.0,0.0
66,0.1,0.9,0.0,0.0
67,0.0,1.0,0.0,0.0
68,0.3,0.7,0.0,0.0
69,0.2,0.8,0.0,0.0
70,0.1,0.4,0.1,0.4
71,0.0,1.0,0.0,0.0
72,0.3,0.7,0.0,0.0
73,0.5,0.4,0.0,0.1
74,0.2,0.7,0.0,0.1
75,0.1,0.8,0.0,0.1
76,0.1,0.9,0.0,0.0
77,0.3,0.7,0.0,0.0
78,0.2,0.5,0.2,0.1
79,0.2,0.8,0.0,0.0
80,0.0,0.7,0.2,0.1
81,0.2,0.4,0.2,0.2
82,0.1,0.7,0.1,0.1
83,0.2,0.6,0.1,0.1
84,0.1,0.9,0.0,0.0
85,0.3,0.7,0.0,0.0
86,0.3,0.7,0.0,0.0
87,0.1,0.8,0.0,0.1
88,0.0,1.0,0.0,0.0
89,0.0,0.9,0.0,0.1
90,0.3,0.7,0.0,0.0
91,0.0,1.0,0.0,0.0
92,0.1,0.6,0.0,0.3
93,0.3,0.7,0.0,0.0
94,0.1,0.8,0.0,0.1
95,0.1,0.8,0.1,0.0
96,0.3,0.5,0.0,0.2
97,0.0,1.0,0.0,0.0
98,0.2,0.7,0.0,0.1
99,0.2,0.7,0.1,0.0
100,0.1,0.8,0.0,0.1
101,0.0,1.0,0.0,0.0
102,0.0,0.9,0.0,0.1
103,0.1,0.8,0.1,0.0
104,0.2,0.7,0.0,0.1
105,0.0,1.0,0.0,0.0
106,0.2,0.7,0.0,0.1
107,0.4,0.5,0.0,0.1
108,0.4,0.6,0.0,0.0
109,0.0,0.8,0.0,0.2
110,0.2,0.8,0.0,0.0
111,0.1,0.8,0.1,0.0
112,0.1,0.8,0.0,0.1
113,0.1,0.9,0.0,0.0
114,0.2,0.6,0.1,0.1
115,0.2,0.8,0.0,0.0
116,0.2,0.7,0.1,0.0
117,0.1,0.9,0.0,0.0
118,0.0,1.0,0.0,0.0
119,0.4,0.6,0.0,0.0
120,0.2,0.8,0.0,0.0
121,0.0,1.0,0.0,0.0
122,0.4,0.4,0.1,0.1
123,0.4,0.4,0.1,0.1
124,0.1,0.2,0.4,0.3
125,0.6,0.0,0.1,0.3
126,0.2,0.4,0.1,0.3
127,0.4,0.5,0.0,0.1
128,0.2,0.5,0.1,0.2
129,0.4,0.5,0.1,0.0
130,0.0,0.9,0.0,0.1
131,0.1,0.8,0.0,0.1
132,0.4,0.1,0.0,0.5
133,0.3,0.7,0.0,0.0
134,0.1,0.8,0.0,0.1
135,0.1,0.8,0.1,0.0
136,0.2,0.7,0.0,0.1
137,0.1,0.9,0.0,0.0
138,0.1,0.9,0.0,0.0
139,0.5,0.4,0.0,0.1
140,0.3,0.2,0.1,0.4
141,0.3,0.7,0.0,0.0
142,0.3,0.5,0.0,0.2
143,0.4,0.4,0.2,0.0
144,0.3,0.2,0.1,0.4
145,0.1,0.3,0.3,0.3
146,0.1,0.9,0.0,0.0
147,0.2,0.8,0.0,0.0
148,0.1,0.9,0.0,0.0
149,0.3,0.7,0.0,0.0
150,0.2,0.7,0.0,0.1
151,0.2,0.7,0.0,0.1
152,0.4,0.6,0.0,0.0
153,0.2,0.7,0.0,0.1
154,0.0,1.0,0.0,0.0
155,0.3,0.6,0.0,0.1
156,0.0,1.0,0.0,0.0
157,0.2,0.7,0.0,0.1
158,0.2,0.8,0.0,0.0
159,0.3,0.6,0.0,0.1
160,0.2,0.7,0.0,0.1
161,0.4,0.6,0.0,0.0
162,0.1,0.8,0.0,0.1
163,0.0,1.0,0.0,0.0
164,0.2,0.8,0.0,0.0
165,0.1,0.6,0.1,0.2
166,0.0,1.0,0.0,0.0
167,0.1,0.9,0.0,0.0
168,0.0,0.8,0.1,0.1
169,0.5,0.5,0.0,0.0
170,0.0,0.7,0.0,0.3
171,0.4,0.4,0.0,0.2
172,0.3,0.7,0.0,0.0
173,0.1,0.8,0.0,0.1
174,0.3,0.7,0.0,0.0
175,0.3,0.7,0.0,0.0
176,0.1,0.6,0.0,0.3
177,0.3,0.3,0.0,0.4
178,0.1,0.8,0.0,0.1
179,0.0,0.9,0.0,0.1
180,0.2,0.8,0.0,0.0
181,0.3,0.4,0.1,0.2
182,0.5,0.4,0.0,0.1
183,0.0,1.0,0.0,0.0
184,0.1,0.8,0.1,0.0
185,0.3,0.6,0.1,0.0
186,0.1,0.8,0.1,0.0
187,0.0,1.0,0.0,0.0
188,0.6,0.0,0.2,0.2
189,0.2,0.8,0.0,0.0
190,0.1,0.9,0.0,0.0
191,0.1,0.8,0.0,0.1
192,0.1,0.9,0.0,0.0
193,0.3,0.7,0.0,0.0
194,0.3,0.4,0.0,0.3
195,0.3,0.6,0.0,0.1
196,0.2,0.8,0.0,0.0
197,0.0,0.8,0.0,0.2
198,0.1,0.8,0.0,0.1
199,0.5,0.2,0.0,0.3
200,0.1,0.9,0.0,0.0
201,0.1,0.8,0.0,0.1
202,0.1,0.8,0.0,0.1
203,0.3,0.5,0.1,0.1
204,0.0,0.9,0.0,0.1
