doc_id,profile_doc_id,score
131359,131360,0.3092242479324341
131359,43208709,0.2294178456068039
131359,1132973,0.25461310148239136
131359,131347,0.29254817962646484
131359,38066772,0.2624501585960388
131359,131356,0.2259567230939865
131359,133430,0.21112291514873505
131359,131352,0.27377426624298096
131359,37024635,0.3414582312107086
131359,133436,0.20250502228736877
156825,39469990,0.273979127407074
156825,19020089,0.35261988639831543
156825,30067435,0.13957467675209045
156825,17615918,0.16856162250041962
156825,40934926,0.18712638318538666
156825,1220464,0.1495700627565384
156825,41762261,0.30356404185295105
156825,36715320,0.16123324632644653
156825,10511033,0.16635721921920776
156825,3547390,0.3800313174724579
133471,133477,0.29743674397468567
133471,766152,0.31121569871902466
133471,7760555,0.3255854547023773
133471,6661516,0.6099429726600647
133471,133836,0.27591487765312195
133471,60474989,0.24313488602638245
133471,3640236,0.40890365839004517
133471,133809,0.3421020805835724
133471,12222841,0.19827790558338165
133471,133501,0.2593410909175873
4263502,3967152,0.15669570863246918
4263502,3226675,0.1513262242078781
4263502,69590005,0.6433506011962891
4263502,8323606,0.3969065845012665
4263502,42835799,0.3576124608516693
4263502,33801750,0.4094601571559906
4263502,108634,0.2426096349954605
4263502,7273373,0.11549542099237442
4263502,25569623,0.5472190976142883
4263502,33795738,0.39464303851127625
118096,10405314,0.21680770814418793
118096,118083,0.186751589179039
118096,32804995,0.2212856411933899
118096,118087,0.22535835206508636
118096,118088,0.23165516555309296
118096,10405128,0.1911010891199112
118096,117871,0.19270852208137512
118096,1380056,0.29398512840270996
118096,117499,0.34871017932891846
118096,117245,0.27639153599739075
260950,39854496,0.941785454750061
260950,63348000,0.9048388600349426
260950,47590848,0.5815078020095825
260950,68923848,0.2904526889324188
260950,42190252,0.45647284388542175
260950,43995757,0.44192439317703247
260950,23192468,0.4656965434551239
260950,36524823,0.450529545545578
260950,51194105,0.7590572834014893
260950,66071711,0.2143474519252777
1531468,19020089,0.21745505928993225
1531468,30067435,0.1087992861866951
1531468,8501357,0.3645785450935364
1531468,17615918,0.09288660436868668
1531468,1220464,0.08708328753709793
1531468,41762261,0.09531372785568237
1531468,36715320,0.12410952150821686
1531468,10511033,0.08608478307723999
1531468,39583099,0.11502038687467575
1531468,3547390,0.19047386944293976
2706590,19020089,0.2158294916152954
2706590,30067435,0.1955278217792511
2706590,17615918,0.10093646496534348
2706590,1220464,0.08922596275806427
2706590,2022259,0.3881652057170868
2706590,41762261,0.1036018654704094
2706590,36715320,0.16030508279800415
2706590,10511033,0.08935970067977905
2706590,39583099,0.11405187845230103
2706590,3547390,0.19333003461360931
1668439,10361674,0.14921365678310394
1668439,2342640,0.29108959436416626
1668439,39359537,0.6388629078865051
1668439,21906160,0.13955260813236237
1668439,48050259,0.314101904630661
1668439,20974359,0.28914186358451843
1668439,10511033,0.17883849143981934
1668439,10298650,0.21575184166431427
1668439,33187517,0.196380153298378
1668439,39272319,0.31797683238983154
54159,53711104,0.2661127746105194
54159,31720476,0.3916640281677246
54159,18545935,0.21519161760807037
54159,1452847,0.06539145857095718
54159,5346386,0.2192605584859848
54159,26514322,0.134836345911026
54159,1133172,0.054118625819683075
54159,10267512,0.09275740385055542
54159,55324284,0.24548028409481049
54159,3228797,0.2068168818950653
2051294,19020089,0.23349031805992126
2051294,30067435,0.10720568150281906
2051294,17615918,0.11379885673522949
2051294,1220464,0.10523547232151031
2051294,48050259,0.20088760554790497
2051294,41762261,0.10158891975879669
2051294,36715320,0.15583498775959015
2051294,10511033,0.11458134651184082
2051294,39583099,0.11845915019512177
2051294,3547390,0.18779872357845306
2158817,26581162,0.3797346353530884
