,s-,l-r,a-d,e-k
0,0.0023878346222538,0.0,0.13299305853784638,0.0
1,0.0,0.0,0.1257675130929944,0.0
2,0.7834233028560966,0.2573238781052024,0.0,0.0
3,0.0,0.014393296346164,0.34924630767850934,0.0
4,0.0,0.0798691573421762,0.0618806367515887,0.0298499192931715
5,0.0586357482349281,0.0,0.0169135802625501,0.0083170890378877
6,0.0,2.399273704503407,0.0,0.0
7,0.044028187261503496,0.0956251476301231,0.1463833730202579,0.0
8,0.025411395276500902,0.0998533640627884,0.0,0.0173039279859777
9,0.416459997949966,0.4155293980856709,0.1256765347512445,0.36742131639829967
10,0.0,0.0252365930599368,0.09707964841961841,0.19769633769594802
11,0.0088765328890686,0.0,0.0,0.013718366689629401
12,0.1943303111721961,0.0363626770350355,0.3365880264917797,0.0
13,0.0,0.11513050990111551,0.14567516177884499,0.0
14,0.066148277927841,0.1644179395293883,0.0413620600375208,0.0099676375362113
15,0.639887037649076,0.2827490877779415,0.480559399147346,0.4069830446306459
16,0.1596227275908674,0.1112710112663029,0.0789520951450043,0.2547596532204761
17,0.1652024754846298,0.0462043756491139,0.0,0.6693728200846354
18,0.084609225968713,0.0633159897788527,0.0,0.2690723299767988
19,0.0,0.0,0.0413215492566697,0.0039814753244528
20,0.0597446792543934,0.028357267217480102,0.0,0.0
21,0.0,0.0126645022863362,0.0,0.02328355663201
22,0.2576052156475985,0.631417353774259,0.6838114623571152,1.1879527186810221
23,0.809372670257344,0.7564540694118829,0.0,0.3722534489875037
24,0.0140434551167809,0.0868778281523077,0.0641397605294641,0.0
25,0.0163414972827781,0.0070396284083393,0.0007697412036943,0.0551993623010902
26,0.0,0.0146542078511431,0.059315543516065904,0.0220238869693574
27,0.1124822617952028,0.145008900111221,0.0856884956388404,0.0019276076422198
28,0.0,0.016109973455166,0.0,0.9699545764261357
29,0.2019313736833788,0.0,0.0720142602106654,0.2072851443303568
30,0.0119016055300253,0.0180865290652846,0.2985032286933838,0.0
31,0.0,0.0178552685952138,0.0,0.0
32,0.0436975521129009,0.0204677634817479,0.0,0.0208100247125454
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0732969516963701,0.0159717509038838
35,0.1010691097964398,0.0060313959125999,0.1267196128484654,0.0
36,0.0,0.0,0.0692910589635087,0.0071051308922099
37,0.0,0.4022833723722189,0.0669710802533614,0.0
38,0.0779194631750499,0.15550713779055658,0.20912692742807498,0.0
39,0.0,0.0,0.0025794420979556,0.0
40,0.0,0.20522830218335,0.0,0.0083333342852721
41,0.05828002840771,0.169722204508594,0.0293916194083415,0.0
42,0.0574139236517819,0.0,0.0806773635932272,0.0396420702709659
43,0.1039646757906079,0.0,0.0,0.0267011419498078
44,0.0,0.0,0.0,0.0
45,0.0,0.48691681302321177,0.0022624439287448,0.2355756409805232
46,0.0014171004336245,0.0,0.09288807363721821,0.0
47,0.0223297213747809,0.2311549402032576,0.0,0.0
48,0.0558733401088769,0.3313626670202029,0.3371717171061308,0.585108389706011
49,0.0403891461254285,0.0356677948437511,0.0,0.108669197557024
50,0.0,0.4315563487015162,0.0540185669706061,0.0
51,0.2916860339422076,0.6616316106857645,0.317431041583873,0.5072399181808938
52,0.5059163047031643,0.0,0.0,0.1229437224065329
53,0.1529457567919235,0.11201919188123591,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0118790675596724,0.0,0.0348624177640441,0.040214334889341
56,0.0490459150470321,0.4029727782107743,0.24133733713260502,0.0
57,0.0218108310245479,0.0551949393629455,0.0,0.0688359320977242
