,High,Low,Medium-Low,Medium-High
0,0.0,3.5999999891999996,0.5999999981999999,0.0
1,0.0,4.666666635555556,1.3333333244444445,0.6666666622222223
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,1.8210677987267336,0.0,0.266666661688889,0.0
6,0.0,0.0952380951360544,0.5714285708163264,0.2857142854081632
7,0.0,6.599999975799999,0.7333333306444444,0.0
8,0.0,1.2647058795501729,1.6470588193252593,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.999999995,4.1999999706,0.999999995,1.99999999
14,0.0,3.611111090918209,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.2499999996875,0.0,0.0
18,0.0,5.799999966200001,0.7999999952000001,0.0
19,0.0,2.952380935691612,0.0,0.0
20,0.0,0.1999999997999999,0.1999999997999999,0.1999999997999999
21,0.0,8.999999954999998,0.999999995,0.0
22,0.0,1.4666666574222225,2.7999999852000004,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.5555555552469129,0.3333333331481478,0.2222222220987652
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.636363634338843,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,1.5999999904000002,4.799999971200001,1.5999999904000002
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,3.272727268595041,0.0,0.8181818171487603,0.8181818171487603
35,0.0,2.4333333289777777,0.0,0.7333333322444444
36,0.0,0.0,0.0,0.0
37,0.0,1.3888888889506172,2.2777777779012345,0.4999999999999999
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.4999999999999999,0.4999999999999999,1.9999999999999996,1.9999999999999996
42,0.0,4.499999998124999,1.499999999375,0.0
43,0.0,0.0,0.0,0.0
44,0.999999995,0.999999995,5.39393936486685,1.6666666572222222
45,0.0,0.0,0.033333333472222,0.0
46,0.0,6.349999960199999,1.5999999902000002,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.5999999978839506,1.6666666613456789,0.0
52,0.0,0.0727272723834712,0.1454545447669424,0.10909090857520679
53,0.0,2.2499999971875,0.2499999996875,0.0
54,0.0,7.399999950600001,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,5.999999969999999,0.0,0.999999995
58,0.0545454543123966,0.0,0.0,0.0
59,0.0,8.769230724319527,0.0,0.44444444
60,0.0,0.6388888887654322,1.1666666663580245,0.3333333332716049
