,Medium-High,Medium-Low,Low,High
0,0.0,0.0,0.0598302143915665,0.0
1,0.0,0.0,0.0649460132096376,0.0
2,0.0,0.0053908363039718,0.0,0.0
3,0.0,0.0618546306483039,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0252349179659729,0.0830085792695478,0.0
6,0.0085929648142896,0.0818902565773355,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0846043771093729,0.0
9,0.0,0.0,0.14096384836295772,0.0
10,0.0514574540141576,0.0526607468398855,0.0548913903950274,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.027241474196217502,0.0,0.0
13,0.0322521420688078,0.0,0.0,0.0
14,0.0,0.0,0.0338101373422698,0.0
15,0.2094573156136189,0.2839888472896797,0.0307359314317606,0.0487900078614967
16,0.0370696689843923,0.0490753504749551,0.0020089880886411,0.0416882277907301
17,0.0,0.0089237585414772,0.0285053132347098,0.0
18,0.0,0.0,0.270804261745632,0.0
19,0.0,0.0059602324245409,0.0546792741702743,0.0
20,0.0,0.0900648581522073,0.3539352829072709,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.19025795220012834,0.0
24,0.043443028150733,0.12311676447483849,0.3812992934155856,0.0619986491961929
25,0.0,0.0199823988514668,0.09120055362718191,0.0
26,0.0,0.0020722639391221,0.036627782006570395,0.0
27,0.0,0.0067840829355266,0.0058428281844842,0.0
28,0.0,0.0582918109025523,0.025449533049874302,0.0
29,0.0,0.0,0.0073889829280895,0.0
30,0.0,0.0357849013221842,0.0999379749293793,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.023329130496870198,0.0
33,0.0,0.068201847751635,0.0,0.0
34,0.1034383646265469,0.0,0.0276401597502899,0.0461136140141792
35,0.0,0.0276176399141489,0.08026937029033229,0.0
36,0.0607018503274157,0.0,0.1596593579003842,0.0
37,0.0,0.057874460627029896,0.2326294617976964,0.0244445480331198
38,0.0,0.2841701582191717,0.0682333156540967,0.0
39,0.0,0.0,0.2216309855797535,0.0
40,0.0150744297976145,0.10635959769897171,0.10618461372016301,0.0
41,0.0339721255027681,0.1488416091756087,0.058062144064707,0.0524324325995616
