,a-d,e-k,s-,l-r
0,0.0125419182444474,0.0347116193595423,0.0,0.0125766767875768
1,0.0,0.0517537933999692,0.0,0.0131922198096684
2,0.0,0.0,0.0,0.0053908363039718
3,0.0,0.0,0.0,0.0618546306483039
4,0.0,0.0,0.0,0.0
5,0.10824349723552071,0.0,0.0,0.0
6,0.0,0.0,0.0904832213916251,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0846043771093729,0.0
9,0.0,0.1126572593524255,0.0283065890105322,0.0
10,0.08742633220311641,0.0526607468398855,0.0,0.0189225122060686
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.027241474196217502
13,0.0,0.0,0.0,0.0322521420688078
14,0.0,0.0338101373422698,0.0,0.0
15,0.0,0.0,0.5422361707647954,0.0307359314317606
16,0.0216638578678642,0.0440867711068148,0.0274114926070909,0.0366801137569487
17,0.0,0.0,0.0,0.037429071776187
18,0.0,0.0,0.0,0.270804261745632
19,0.0,0.0,0.0456007949239179,0.0150387116708973
20,0.0,0.20477659913051938,0.1530483690425689,0.0861751728863899
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.19025795220012834,0.0,0.0,0.0
24,0.2116851280606436,0.13443224861833689,0.0363212957725202,0.2274190627858493
25,0.0,0.0,0.1111829524786487,0.0
26,0.0,0.0,0.0387000459456925,0.0
27,0.0,0.0,0.012626911120010801,0.0
28,0.0,0.0,0.0343377907256929,0.049403553226733704
29,0.0073889829280895,0.0,0.0,0.0
30,0.0,0.1196514933195573,0.0160713829320062,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.023329130496870198,0.0,0.0
33,0.0,0.0,0.0,0.068201847751635
34,0.004180776432624,0.0234593833176659,0.041483984162606,0.1080679944781201
35,0.08026937029033229,0.0276176399141489,0.0,0.0
36,0.0879183957675902,0.0443545307258194,0.0880882817343903,0.0
37,0.2905039224247263,0.0,0.0244445480331198,0.0
38,0.1594342617805467,0.1021664615820008,0.0908027505107209,0.0
39,0.2216309855797535,0.0,0.0,0.0
40,0.0094373864375074,0.0456739232334658,0.0826940151429663,0.0898133164028097
41,0.0133848134539834,0.0,0.07578352775567379,0.2041399701329882
42,0.0,0.0,0.0,0.0451540615717321
