,e-k,l-r,s-,a-d
0,0.5999999981999999,2.3999999927999998,0.5999999981999999,1.7999999945999998
1,2.666666648888889,2.666666648888889,0.6666666622222223,0.6666666622222223
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.1999999958,0.3636363590082644,0.3636363590082644,0.0
6,0.0,0.0,0.8571428562244896,0.0952380951360544
7,0.7333333306444444,0.0,2.1999999919333333,3.666666653222222
8,0.0,0.7712418287257038,1.7647058795501729,0.336134451182826
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,2.999999985,0.999999995,1.99999999,3.769230749260355
14,0.4166666644097222,2.083333322048611,0.4166666644097222,1.2499999932291668
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,7.599999956400001,0.0,0.0
19,1.428571420408164,0.0,1.1428571363265312,0.2857142840816328
20,0.0,0.3999999995999998,0.1999999997999999,0.1999999997999999
21,1.99999999,0.999999995,4.999999975,1.99999999
22,0.0,1.7999999902000001,3.7999999802,0.999999995
23,0.0,0.0,0.0,0.0
24,0.2222222220987652,0.2222222220987652,0.1111111110493826,0.4444444441975304
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,1.272727268677686,0.0,0.636363634338843,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,3.3999999806000005,1.5999999904000002,1.5999999904000002,0.7999999952000001
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0181818195987602,2.454545451446281,2.454545451446281,0.0
35,0.0,3.5555555501728398,0.7333333322444444,1.4666666644888888
36,0.0,0.0,0.0,0.0
37,0.0,1.3888888889506172,0.8888888889506172,2.4999999999999996
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,1.9999999999999996,1.4999999999999996,0.9999999999999998,0.0
42,1.499999999375,2.2499999990625,0.7499999996875,2.99999999875
43,0.0,0.1428571427551019,0.0,0.0
44,0.0,8.333333289444443,0.999999995,0.0
45,0.0,0.0888888889506172,0.066666666944444,0.0
46,0.0,0.0,0.0,8.599999950199997
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,1.333333328074074,0.0,0.4666666655777778,0.9333333311555556
52,0.181818180958678,0.0,0.0,0.181818180958678
53,1.2499999984375,0.499999999375,0.0,0.7499999990625
54,6.7999999502,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.999999995,3.99999998,3.99999998,0.999999995
58,0.0545454543123966,0.2045454538248966,0.2017316000900245,0.0545454543123966
59,0.999999995,1.444444435,0.999999995,5.923076893106509
60,0.0833333332716049,0.0833333332716049,0.0833333332716049,0.9999999996296293
61,0.0,0.0,0.0,0.0
62,0.0,0.8571428522448981,0.3333333283333334,2.714285699489796
63,1.9999999999999996,0.9999999999999998,1.4999999999999996,0.4999999999999999
