,Pre-1900s,20th century,Unknown,21st century
0,0.0,0.0,0.2981818186685618,0.0
1,0.0,0.0,0.5217391256710773,0.0
2,0.0,0.0,0.3907407414009087,0.0
3,0.0,0.0,0.33419915106365655,0.0
4,0.0,0.0,0.1818181800826446,0.0
5,0.0,0.0,0.1614327758864139,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.6945454478330579,0.0,1.6501424250002759,0.0
9,0.0,0.0,0.046052631997706,0.0
10,0.0,0.0,0.0328874032940408,0.0
11,0.0,0.1058201063800006,0.4582470690435118,0.0
12,0.0,0.0,0.6430641760605552,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0799999963520001,3.626108345007853,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.45893719291652074,0.0,0.0
17,0.0,0.0,0.0,0.4661654113358585
18,0.159999998528,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.6739130380647449,0.0,0.3478260836294896,0.0869565209073724
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.3157894680332409,0.3157894680332409,0.0,0.0
24,0.2952380924310657,0.0,0.8126984051090449,0.0
25,0.7299999935885,0.239999997888,1.00880606434918,0.0
26,0.0,0.0,1.36752135540507,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.4818865302041353,0.0869565209073724,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.6565656503096622,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.7666666593674598,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.6565656503096622,0.0
38,0.0,0.0,0.0,0.0
39,0.159999998528,0.319999997056,0.7269565142632288,0.0
40,0.0,0.0,0.0072463780014702,0.0072463780014702
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.3809523773242628,0.2857142829931971,0.0952380943310657,0.0
44,0.0,0.0,0.0,0.0
45,0.0869565209073724,0.2222222201234568,0.1739130418147448,0.0
46,0.0,0.0,0.0,0.0
47,0.29047618771213135,0.0952380943310657,0.0,0.0
48,0.0,0.1614035083444752,0.0,0.2561403505333948
49,0.5999999943,0.0,0.09999999905,0.0
50,0.0,0.0,0.0,0.0
51,0.3766233669210661,0.4761904639455785,0.0,0.0
52,0.0909090900413223,0.0,0.5360415247785488,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.173913038941399,0.0,0.0
55,0.34999999526250003,0.0,0.2499999978125,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0723981910403145,0.43438914624188707,0.0
58,0.0,0.3076923041420118,2.8681318365451034,0.0
59,0.0,0.0,0.1521739132053402,0.0
60,0.0,0.1052631560110803,0.0,0.0
61,0.0,0.0,0.0363636360694214,0.0
62,0.5714285659863941,0.0,0.0,0.0
63,0.4210526272576177,0.0,3.2930332709163492,0.0
64,0.0,0.1176470577162629,0.8478260788794896,0.0
65,0.0,0.0,0.0786749483756199,0.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.6428571367806122,0.0
68,0.0,0.2499999978125,1.5749999843814626,0.1249999978125
69,0.1818181800826446,0.0,0.1818181800826446,0.0
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
72,0.0952380943310657,0.0,0.0,0.0
73,0.0,0.0,0.5217391254442344,0.0
74,0.4242424202265075,0.0,0.42424242022650754,0.0
75,0.0,0.0,0.0303030301056013,0.0
76,0.0142857151673468,0.0142857151673468,0.0142857151673468,0.0
77,0.0227272734187757,0.0,0.0,0.0
78,0.0,0.0952380943310657,0.8671679115460323,0.0
79,0.0,0.0,4.074240138203652,0.0
80,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0
82,0.0,0.0,1.890479555522835,0.0
83,0.0,0.0,0.8528138446898478,0.0
84,0.0,0.0,0.0,0.0
85,0.0769230748816568,0.0769230748816568,1.5289854894226529,0.0
86,0.0,0.0,0.3636363601652892,0.0
87,0.0,0.0,2.123493753837131,0.0
88,1.565217377693762,0.2608695629489603,0.3478260824196598,0.0
89,0.0,0.0,0.7258064385243231,0.0
90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.2727272701239669,0.1818181800826446
92,0.0,0.0,0.0,0.0
93,0.0,0.0,2.159999980992,0.239999997888
94,0.0,0.0,2.0232520921628634,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.7272727203305784,0.0
97,0.1779904307073577,0.0,0.0,0.0
98,0.0,0.0,3.318182927618068,0.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.7777777704320987,0.0
102,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.7619047546485255,0.0952380943310657
105,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0
107,0.0,0.0,0.6998491714185769,0.0
108,0.0,0.0,0.4478260826794896,0.0869565209073724
109,0.0,0.0,0.3004773103824302,0.0
110,0.0,0.0,0.3174603145779793,0.0
