,21st century,Pre-1900s,20th century,Unknown
0,0.0,0.0759292450746518,0.0,0.0846336732736273
1,0.0,0.0,0.0,0.0517537933999692
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.1130976648849811
4,0.0,0.0,0.0023600594089235,0.0
5,0.0007211538075085,0.0,0.0,0.1714847464597324
6,0.0,0.0,0.0,0.0066816077604384
7,0.0,0.0070422536866977,0.0,0.0
8,0.0,0.0683199581926908,0.0,0.0392193934211396
9,0.0,0.0058921303198816,0.0099767341564232,0.10944007804225009
10,0.0,0.0252672493319771,0.0,0.1392864400737006
11,0.0,0.0,0.0,0.0
12,0.0,0.07425722288543429,0.0,0.0067477631701378
13,0.0,0.0,0.0,0.0708788724944743
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0639607369047404,0.17365055964687387
16,0.0431071121673306,0.0,0.17126195844600242,0.0588409309397232
17,0.0339796869066899,0.0132677126064292,0.0386994502734271,0.0381638907183245
18,0.0,0.0,0.0,0.269774806504253
19,0.0,0.0,0.0,0.004726022028658
20,0.0,0.0,0.0436252768115349,0.3184164353607522
21,0.0,0.0,0.0149044993072613,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0129032262441336,0.21284982460093282
24,0.0,0.0,0.0,0.4426477762306922
25,0.0,0.0,0.0,0.0322804263185558
26,0.0,0.0,0.0035909175099238,0.0049118187590303
27,0.0,0.0,0.0024498552565375,0.0216450217939843
28,0.0,0.056323845893506606,0.0,0.0
29,0.0,0.0,0.0924372668290526,0.0161238365852519
30,0.0,0.0,0.0178397300053039,0.1315353678888386
31,0.0,0.0,0.0,0.0
32,0.0,0.0008510643658602,0.0,0.0
33,0.0,0.0,0.0,0.0420214009761534
34,0.0,0.0,0.0,0.1174987182675539
35,0.0,0.0,0.0,0.0
36,0.0658466829287987,0.0,0.2114482189910015,0.1159716768520964
37,0.0,0.09539109555299459,0.0268685607211363,0.0924405639669558
38,0.0342576812353494,0.0,0.061997229054857494,0.080332024995972
39,0.0,0.5929722201827747,0.0,0.0
40,0.022562792302464,0.0364999612224198,0.0538497876016768,0.0443207268229137
41,0.0352693122147118,0.0,0.0868360000547146,0.25046355296826966
42,0.0,0.0124293786116988,0.0,0.0
43,0.0,0.0,0.0327505473935888,0.0401397602120583
44,0.0,0.0,0.0,0.3788334491626824
45,0.0,0.0,0.0164724170926189,0.35323173264910385
46,0.0,0.0,0.4100894368170011,0.881234055529455
47,0.0,0.0,0.0,0.0067299173500244
48,0.0,0.0,0.0509840277112112,0.0495662295280729
49,0.0,0.0,0.1348960306999514,0.2013680318706317
50,0.0,0.0,0.0,0.0
51,0.0,0.0,1.4148321818512526,0.0328282826073276
52,0.0621905326954206,0.0,0.0,0.0
53,0.0,0.0096507356283115,0.2622549021138881,0.0978188478684544
