,e-k,l-r,s-,a-d
0,0.0150358848841026,0.0011669251949797,0.0,0.0
1,0.0601170933472431,0.0,0.0441512821824765,0.12924363992691829
2,0.0002994015754693,0.4630241079202758,0.0212708848471857,0.027333309402373
3,0.0205368475620388,0.1316070587603093,0.0597592327039349,0.11256769092383381
4,0.0,0.0,0.0,0.0
5,0.0069059210429656,0.0,0.028728846926159,0.0
6,0.0090778780542609,0.0795252035264899,0.0775919725931956,0.0
7,0.0,0.32509636524734437,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.1141032587451314,0.0491594311534448,0.10155801991447,0.1244192535711433
10,0.15448579092382309,0.2095691992350457,0.1299829757424968,0.0
11,0.0,0.0,0.0108542994483146,0.049578714126958
12,0.0177735915374623,0.0019163903855572,0.0,0.0
13,0.0,0.1403093999821846,0.1536186349168216,0.0050065817049928
14,0.0,0.0845031478868532,0.0,0.0
15,0.0,0.0005880736133525,0.0,0.0246386383849146
16,0.0,0.0887036863499461,0.0,0.1651465125209922
17,0.0,0.0,0.0300488110730905,0.0223537505852546
18,0.060532554443238094,0.0389380527500039,0.0157676342965892,0.0
19,0.16641604124826329,0.026997727247333,0.0,0.0016637339357783
20,0.030119928543205603,0.0337110482068286,0.0307289967929274,0.0097149230585174
21,0.0,0.0,0.0,0.0
22,0.0367521368445028,0.0,0.0,0.1311129294373547
23,0.1266477708893507,0.0,0.0,0.058094841573557494
24,0.8272176492262835,0.2961848257768399,0.1832173371474567,0.3915093522488596
25,0.4493494125511476,0.0,0.1034393905291527,0.0
26,0.0324675326962151,0.0,0.11715000546660351,0.1836554292787161
27,0.07047605451025189,0.4935439858716697,0.1069478697164944,0.0
28,0.49939031903553543,0.194261454986431,0.1121121117137605,0.2032205018463295
29,0.0,0.0044770881480283,0.0,0.0
30,0.0,0.33759381237973,0.0619627732887927,0.0
31,0.0,0.1392090872584471,0.047976588406238,0.0
32,0.1027653740188696,0.6443446241898143,0.1675814735541884,0.2868388228764639
33,0.0082168786608365,0.0,0.0,0.0353383337933715
34,0.6944919407035176,0.0,0.0,0.136901696428156
35,0.0,0.0014527848649581,0.042752088396122,0.0
36,0.0,0.0047164814790736,0.0297795455780319,0.1086308083094066
37,0.10662358113588019,0.0230686046164151,0.0180030469780918,0.0935804445280804
38,0.0,0.0,0.1365300809986208,0.0874439481582235
