,l-r,e-k,a-d,s-
0,0.0,0.0,0.0099530517751308,0.0390823395414785
1,0.0375157421716145,0.10215456394777181,0.0811221974972291,0.006585612859081
2,0.4397033748616615,0.0962276023214948,0.0227007718993725,0.0
3,0.0591960189787093,0.1016218431393873,0.027663806509091598,0.0
4,0.0,0.0,0.0,0.0
5,0.0124314188513673,0.0,0.1109745476995787,0.0
6,0.0348406168051089,0.0595742093396349,0.0,0.09710222649068481
7,0.2929241261689329,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.2084377120937998,0.0148930916563981,0.0906723921049066,0.1468843944282397
10,0.07396744354814261,0.1237626753924979,0.0272669628198043,0.0788308613766559
11,0.0,0.0008267886233551,0.0,0.0108542994483146
12,0.0,0.0809308938430925,0.0,0.0123158723148028
13,0.0146121821859265,0.0,0.0608878062358443,0.1832759956625823
14,0.1358964763003427,0.039143614448059,0.1524066757280868,0.0
15,0.0,0.0,0.0,0.0126425141561929
16,0.0225806470862371,0.0371525660667049,0.0107328876693003,0.0383475808704254
17,0.0,0.0,0.0302277663332861,0.0
18,0.0211981565115801,0.0872635429819317,0.0,0.0
19,0.0,0.0550584452850185,0.0,0.0
20,0.0787656098930434,0.0022165393521463,0.0133779268994525,0.0056856192071448
21,0.0,0.0,0.0,0.0138258686631581
22,0.0,0.08746438859068681,0.1611795375918695,0.0
23,0.0325644510008547,0.0037517332023194,0.0011222087768643,0.059023401846812706
24,0.335679393867453,0.7383749370287185,0.301549291673487,0.0
25,0.0,0.0,0.0,0.000403028819026
26,0.0,0.0667693887788151,0.1954998745904523,0.0
27,0.0220982742389665,0.2575647271873322,0.056385601626825696,0.0447199964470042
28,0.2608579799673544,0.8900969217444408,0.2585034004540694,0.0
29,0.0,0.0,0.0,0.0
30,0.1992744114505874,0.0810454645880587,0.0681023791760648,0.0107006368967747
31,0.0,0.0,0.0,0.016786570632568
32,0.4294434655302456,0.0,0.6778418060006959,0.25194616398413017
33,0.0,0.0349292382646832,0.0053983738804397,0.0
34,0.2058672136695354,0.9215044282860478,0.1455223860153291,0.0
35,0.0061311476667278,0.0176690009819413,0.0067159425778389,0.055104983281331704
36,0.0,0.0243243256633355,0.12846641999910818,0.0235580410220506
37,0.0220596766621065,0.015959667077997702,0.0,0.0007957559910889
38,0.0419616291505076,0.003905724337376,0.0475643131566723,0.11470978153042061
39,0.0345721693761579,0.0,0.0436219432386162,0.0
40,0.2390206342936835,0.1035190604177827,0.0799776356497384,0.1842814080990932
41,0.0138026225232699,0.0,0.0,0.0
42,0.08506847544022339,0.0,0.0,0.0
43,0.4086441786534225,0.2101308750284259,0.3664143111740906,0.321366850217183
44,0.08278833646123271,0.0,0.4441911534122716,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0209983169557924,0.004051895763637,0.0545051092542605
47,0.0,0.0588397832864226,0.0420386468942945,0.0120678916924901
48,0.0482596641266436,0.2370714856661842,0.09377852499526079,0.0
49,0.0,0.0197836405974705,0.0274584217829904,0.7724985568902341
50,0.0090909093046684,0.0323403720931314,0.0,0.0
51,0.0013239878607941,0.0,0.0,0.0319477527669164
52,0.0972395535717433,0.109668694599964,0.1630576520917486,0.0270503846232166
53,0.0,0.0,0.0,0.0032402585746718
54,0.0,0.0,1.7766914217764587,0.0
55,0.1960520211738379,0.0276172129626941,0.0385183454855326,0.0
56,0.0,0.0794283815379649,0.27796876337735216,0.0
57,0.0402160857661201,0.0,0.0,0.0
