,Medium-Low,High,Medium-High,Low
0,0.0109070465028419,0.0,0.0,0.0488570761518217
1,0.0,0.0,0.0198589037615244,0.4056007846876015
2,0.0332799429257153,0.0,0.0,0.0015999099158481
3,0.0,0.0,0.0,0.0120230295836478
4,0.0286188542944213,0.0,0.0,0.05813934643077601
5,0.0,0.0,0.0,0.0
6,0.24654204723338252,0.0,0.0,1.1738147016451863
7,0.0,0.0,0.0,0.26847240002876255
8,0.0,0.0,0.0,0.0026124818761877
9,0.0,0.0,0.0,0.13425311906671872
10,0.0580255529543018,0.0,0.1094038492746373,0.0
11,0.0,0.0,0.0,0.0508430203781719
12,0.0,0.0,0.0,0.0037148827283958
13,0.0628996793890064,0.0736681676885953,0.40766957466221865,0.0542026000638303
14,0.0,0.0,0.0,0.3158087500978801
15,0.0720447826588181,0.0,0.0097357680676599,0.0278139946420312
16,0.0,0.0,0.0350324819746357,0.1700404241171462
17,0.0,0.0,0.0,0.1008561268781206
18,0.0527397258472846,0.0,0.0,0.6444214689605022
19,0.0,0.0,0.0,0.033623491511882195
20,0.17702038231419048,0.0,0.0,0.1838003673726151
21,0.0204564096360977,0.0,0.0,0.2408023292557187
22,0.0,0.0,0.0,0.014425770595087699
23,0.0,0.0,0.0167722214894964,0.070389017201817
24,0.0,0.0,0.0,0.0
25,0.1852415872201666,0.0,0.0,0.4585121212218969
26,0.08254491542073569,0.0,0.0345045631519309,0.0464503065509541
27,0.22096297831565878,0.0,0.0117334059892898,0.10051782388680419
28,0.1165295445769099,0.0,0.0,0.0642668059670629
29,0.0793092936828187,0.0,0.1411036610010652,0.0642084059695115
30,0.0068044356086545,0.0,0.0,0.2895888425498611
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.009587957478441
33,0.0,0.0,0.0,0.0
34,0.2314769227667832,0.0891789239869108,0.125299556203737,0.0
35,0.0194048047811401,0.0,0.0,0.1055683758691099
36,0.0,0.0325835222640412,0.0481490024005367,0.20556415993841812
37,0.0056776922973999,0.0,0.0,0.0109999413621751
38,0.0235862984067476,0.0,0.0,0.055305508035669
