,l-r,s-,e-k,a-d
0,0.0,0.0463466049335463,0.0,0.1727628730850008
1,0.0,0.0,0.0,0.1392047913963587
2,0.0509897903663547,0.41726923388415676,0.0,0.0
3,0.0,0.0,0.0,0.2959956090076643
4,0.0597078932117181,0.0,0.0851336889943355,0.12067113290414709
5,0.0,0.2759064565867241,0.0,0.5198797784230422
6,0.7975764783906888,0.0,0.0,0.3492258962739235
7,0.21211017934116838,0.1650455187647853,0.0913461538461539,0.4727592720234552
8,0.41511371207171005,0.14551322854771448,0.0519051266451533,0.0
9,0.1833471861731314,0.103402019889203,0.1076838056247354,0.0497491787986532
10,0.0,0.0,0.0996274132447826,0.038012103895615
11,0.0,0.0,0.0,0.0
12,0.17975848354067908,0.1914074545090167,0.0,0.7334451676862599
13,0.0,0.0,0.0,0.0
14,0.0722425576396734,0.0,0.0,0.0067084601389727
15,0.0666510370164215,0.4464091828381962,0.0674882521951129,0.6222201795828447
16,0.0502889149717058,0.06351516602790461,0.0543149889770713,0.0171029449042791
17,0.0001561979198833,0.0319343741143023,0.4448717476478906,0.0
18,0.0,0.0051833298203123,0.0955246767420424,0.0
19,0.0,0.0,0.0,0.0
20,0.009406842653918,0.0410385558109434,0.0239771451756402,0.0
21,0.0,0.0,0.0,0.0
22,1.0795942170888768,0.0878825700103433,1.2362816492595687,0.7258060396631751
23,0.3906486151472447,0.5106354282594321,0.3828347570912168,0.0
24,0.0,0.0,0.0,0.0
25,0.032597005016230696,0.047939492407497494,0.0722587224066718,0.1126075826284242
26,0.0,0.0,0.0601241874895238,0.11944029630930399
27,0.0,0.0295845997929461,0.0,0.0
28,0.5909358460797143,0.4086733553997503,0.7936312590924652,0.0
29,0.0,0.23708134406875409,0.10141847781504171,0.0582829157445299
30,0.0,0.0459437147072106,0.0,0.0787878792410646
31,0.0001404279694361,0.0152994291999696,0.0112167729642439,0.0
32,0.0,0.0,0.0,0.0
33,0.019843262294038502,0.0672503271059493,0.0384205436835977,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0046354243131483
36,0.0,0.0,4.147971343998469e-05,0.0255516836617917
37,0.6036478936371857,0.0,0.0,0.0
38,0.1376167568622599,0.0396651146844109,0.0,0.0238371633639545
39,0.048948876277780405,0.0,0.1314286227424803,0.0310193043262472
40,0.0185947793850112,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0388454973899689,0.104814933237045,0.2259763592270177
