,Medium-High,High,Medium-Low,Low
0,1.3333333333333333,0.0,4.238095238197278,0.0
1,0.3333333327777777,0.0,0.3333333327777777,2.6666666622222217
2,0.0,0.0,0.0,0.0
3,0.999999995,0.0,5.999999967500001,1.99999999
4,0.0,0.0,1.99999999,7.9999999599999985
5,0.999999995,0.0,8.333333289444443,0.0
6,0.4285714284693876,0.0,2.4285714280612236,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.7999999950000002,0.0,1.033333324027778,4.266666633580247
11,0.1666666672222221,0.0,4.166666667222222,0.0
12,0.0,0.0,0.0,0.0
13,0.999999995,0.0,4.999999975,3.99999998
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.4666666668666667,4.533333334133333
16,0.0,0.0,0.999999995,7.33333329111111
17,0.0,0.0,0.6666666644444443,3.999999984444444
18,0.0,0.0,0.4444444409876544,4.685714256832654
19,0.0,0.0,0.0,0.0
20,0.0,1.99999999,2.999999985,3.99999998
21,1.99999999,0.0,2.999999985,4.999999975
22,0.0,0.0,0.0,0.0
23,0.0,0.0,1.99999999,7.9999999599999985
24,0.1666666679166666,0.0,4.333333335833333,0.6666666666666666
25,0.0,0.0,1.3333333311111109,1.9999999966666662
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.999999995,8.999999954999998
28,0.0,0.0,2.6666666516666666,3.4999999812500002
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,9.333333283888887
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,1.6666666638888885
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.7499999996875,0.0,0.7499999996875,5.999999997499999
38,0.0,1.857142847244898,2.714285699489796,4.857142832244898
39,0.0,0.0,0.0,9.999999949999998
40,0.0,0.0,0.0,1.666666672222221
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,9.399999950199998
43,0.733333331711111,0.6666666655555554,0.3333333327777777,0.7999999985333333
44,0.0,0.0,0.0,0.0
45,0.0,0.0,2.3333333183333336,2.999999985
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.6666666655555554,2.6666666622222217
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,1.99999999,0.0,2.999999985,4.999999975
