,l-r,a-d,e-k,s-
0,0.0,0.0,5.571428571530612,0.0
1,0.9999999983333332,0.9999999983333332,0.3333333327777777,0.9999999983333332
2,0.0,0.0,0.0,0.0
3,3.9999999775000004,0.0,2.999999985,1.99999999
4,1.99999999,4.999999975,0.999999995,1.99999999
5,0.999999995,2.3333333194444443,1.99999999,3.99999998
6,1.285714285408163,0.0,0.4285714284693876,1.142857142653061
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,1.033333324027778,0.0,1.733333319506173,3.333333309074074
11,0.4999999999999999,2.1666666672222217,0.4999999999999999,1.166666667222222
12,0.0,0.0,0.0,0.0
13,1.99999999,0.0,0.0,7.9999999599999985
14,0.0,0.0,0.0,0.0
15,0.4666666668666667,0.0,4.0666666672666665,0.4666666668666667
16,2.3333333194444448,2.666666652222222,2.3333333194444448,0.999999995
17,0.6666666633333332,2.333333325,0.999999996111111,0.6666666644444443
18,0.999999995,0.0,1.3999999902,2.7301587126203075
19,0.0,0.0,0.0,0.0
20,5.999999969999999,2.999999985,0.0,0.0
21,0.0,4.999999975,0.0,4.999999975
22,0.0,0.0,0.0,0.0
23,0.999999995,1.99999999,4.999999975,1.99999999
24,2.1666666679166666,0.6666666666666666,2.1666666679166666,0.1666666679166666
25,0.3333333327777777,0.6666666655555554,0.6666666655555554,1.6666666638888885
26,0.0,0.0,0.0,0.0
27,3.99999998,0.999999995,2.999999985,1.99999999
28,2.6666666516666666,0.999999995,2.49999998625,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,3.333333313888889,1.99999999,1.99999999,1.99999999
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.6666666655555554,0.9999999983333332,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.7499999996875,0.0,3.7499999984374996,2.99999999875
38,0.8571428522448981,1.99999999,0.999999995,5.571428541734695
39,1.99999999,1.99999999,2.999999985,2.999999985
40,0.5000000016666662,0.5000000016666662,0.3333333344444442,0.3333333344444442
41,0.0,0.0,0.0,0.0
42,0.999999995,3.99999998,3.3999999802,0.999999995
43,0.7999999985333333,1.2666666642888886,0.3333333327777777,0.1333333329777778
44,0.0,0.0,0.0,0.0
45,0.999999995,2.999999985,0.999999995,0.3333333283333334
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,1.3333333311111109,0.9999999983333332,0.9999999983333332
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,2.999999985,2.999999985,1.99999999,1.99999999
52,0.0,0.0,0.1999999999999998,0.0
53,0.0,0.0,0.0,0.0
54,0.999999995,2.999999985,1.99999999,1.99999999
55,0.0,0.0,0.0,0.0
56,0.3999999995999998,0.1999999997999999,0.0,0.0
57,0.3956043942567324,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,6.999999964999999,1.99999999,0.0,0.999999995
61,0.0,0.0,0.0,0.0
62,0.0,9.999999949999998,0.0,0.0
63,2.999999985,0.0,4.7999999752,0.999999995
64,1.99999999,3.99999998,1.99999999,1.5999999904000002
65,0.0,0.0,0.0,0.0
66,0.0,7.142857141836734,0.0,0.0
67,3.4999999999999996,0.9999999999999998,0.4999999999999999,0.0
68,0.0,0.0,0.0,0.0
69,1.99999999,1.99999999,0.0,1.49999999
70,6.645687595788139,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
73,0.4999999987499999,1.2999999964499998,0.9999999974999998,0.29999999895
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,4.419580394740085,1.8461538362130177,0.0,1.8461538362130177
77,1.99999999,0.999999995,2.999999985,1.99999999
78,0.0,0.0,0.0,0.0
79,1.99999999,0.999999995,3.3333333144444444,2.666666652222222
80,0.9999999983333332,0.3333333327777777,0.3333333327777777,0.3333333327777777
81,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
83,0.999999995,2.7999999804,2.999999985,1.99999999
84,0.0,0.0,0.0,0.0
85,2.499999985,0.0,0.999999995,0.0
86,0.0,0.0,0.0,0.0
87,0.999999995,0.0,0.0,0.999999995
88,0.4999999996875,0.4999999996875,0.4999999996875,1.4999999990625
89,0.0,0.0,0.0,0.0
90,1.6428571401020409,1.4285714267346938,1.1428571401020406,0.0
91,0.0,0.0,0.0,0.0
92,0.42307692310650824,0.5128205128796836,0.333333333333333,0.0897435897731753
93,1.6666666620370367,1.6666666620370367,0.5555555540123456,0.0
94,1.99999999,0.0,1.6666666572222222,0.999999995
95,1.3142857142775506,0.0,0.9142857146775508,0.6571428571387753
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.3333333331481478,0.0
99,0.39999999958333377,0.39999999958333377,0.1333333331944446,0.39999999958333377
100,0.0,0.0,0.0,0.0
101,4.999999975,1.6666666572222222,0.999999995,0.999999995
102,0.0,0.0,0.0,0.0
103,1.1714285710969388,0.0,0.0714285720344388,0.0714285720344388
104,3.99999998,3.99999998,1.99999999,0.0
105,0.0,0.0,0.0,0.1904761913832198
106,2.599999991933333,3.4666666559111112,1.7333333279555556,0.8666666639777778
107,0.1999999997999999,0.1999999997999999,0.9999999989999996,0.1999999997999999
108,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
110,4.999999975,0.0,1.99999999,2.999999985
111,0.9999999999999998,1.4999999999999996,0.0,0.9999999999999998
112,7.499999971874999,0.0,0.0,0.0
113,1.99999999,2.999999985,1.99999999,0.999999995
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,0.5238095239115647,0.0,2.0952380956462586,2.5119047626254254
119,0.699999995,0.8999999934,0.1999999984,0.0
120,0.0,0.4999999987499999,1.9999999949999996,0.4999999987499999
121,4.153846139467455,0.0,1.3846153798224852,0.6923076899112426
122,0.0,0.0,0.0,0.0
123,1.99999999,4.999999975,1.99999999,0.999999995
124,0.999999995,0.0,0.999999995,0.999999995
125,0.0,0.1428571427551019,0.1428571427551019,0.0
126,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0
129,1.11111111,0.555555555,0.0,0.555555555
130,0.9999999974999998,1.9999999949999996,0.4999999987499999,1.4999999962499997
131,0.9999999974999998,0.4999999987499999,0.4999999987499999,0.0
132,3.857142837244898,4.999999975,0.0,0.999999995
133,2.631578943905817,0.0,0.0,0.0
134,6.999999950714286,0.0,0.0,0.0
135,1.4999999990625,0.4999999996875,0.4999999996875,0.4999999996875
136,0.6666666644444443,2.6666666577777773,1.3333333288888887,1.999999993333333
137,0.0,0.0,0.0,0.0
138,0.7499999996874999,0.999999999375,0.4999999996875,0.0
139,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
143,3.99999998,1.99999999,2.999999985,0.999999995
