,21st century,20th century,Pre-1900s,Unknown
0,0.0,0.0,0.0,5.571428571530612
1,0.3333333327777777,0.0,0.0,2.9999999949999996
2,0.0,0.0,0.0,0.0
3,1.99999999,1.99999999,0.0,4.9999999725
4,0.0,0.0,0.0,9.999999949999998
5,0.0,8.666666622222222,0.0,0.6666666622222223
6,0.0,1.5714285711224485,0.0,1.285714285408163
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,3.599999971851852,0.0,2.499999980756173
11,0.0,4.333333334444443,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.999999995,0.0,0.0,8.999999954999998
14,0.0,0.0,0.0,0.0
15,0.0,3.2000000008000002,1.8000000001999998,0.0
16,0.0,0.0,8.33333328611111,0.0
17,0.0,0.0,4.666666648888889,0.0
18,0.0,0.0,2.7301587126203075,2.3999999852
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,8.999999954999998
21,0.0,0.0,1.99999999,7.9999999599999985
22,0.0,0.0,0.0,0.0
23,0.0,7.9999999599999985,1.99999999,0.0
24,2.6666666666666665,0.1666666679166666,0.0,2.3333333358333332
25,0.0,0.0,0.0,3.3333333277777775
26,0.0,0.0,0.0,0.0
27,3.99999998,1.99999999,0.0,3.99999998
28,5.499999971249999,0.0,0.0,0.6666666616666668
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,8.333333288888888,0.0,0.999999995
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,1.6666666638888885
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,2.2499999990625,5.249999997812499
38,0.0,0.0,0.0,9.428571378979592
39,1.99999999,0.0,0.0,7.9999999599999985
40,0.0,0.0,0.0,1.666666672222221
41,0.0,0.0,0.0,0.0
42,0.0,0.999999995,7.399999960199999,0.999999995
43,0.0,0.7333333317111111,0.0,1.7999999968666662
44,0.0,0.0,0.0,0.0
45,0.0,1.3333333233333335,0.0,3.99999998
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.9999999983333332,1.9999999966666662,0.3333333327777777
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,9.999999949999998
52,0.0,0.0,0.0,0.1999999999999998
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,7.9999999599999985
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.5999999993999997
57,0.0,0.3956043942567324,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,9.999999949999998
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,9.999999949999998
63,0.0,0.999999995,6.7999999652,0.999999995
64,0.0,0.0,0.0,9.599999950399999
65,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,7.142857141836734
67,0.0,0.0,0.0,4.999999999999999
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,5.499999970000001
70,0.0,0.0,0.0,6.645687595788139
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
