,20th century,Unknown,Pre-1900s,21st century
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.079365079617032,0.1256038655091132,0.0,0.1111111120061728
3,0.1922196778048793,0.3625095312469739,0.0,0.0869565209073724
4,0.0,1.7549406954534514,0.0,0.0
5,0.23453416849520733,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.6666666603174598,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,1.3209109586583163,0.0,0.1739130418903591
14,0.0,1.8030302866264916,0.0,0.0
15,0.7984949726974007,0.0,0.7115384523673262,0.0
16,0.0,0.0,0.4110275650235864,0.0
17,0.0,0.0,1.0176470491662628,0.0
18,0.0,0.3661327180526681,0.6086956426465027,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,1.7833154892928698,0.479999995776,0.0
22,0.0,1.4822134243790714,0.0,0.0
23,1.8461538298224855,0.0,0.4615384574556214,0.0
24,0.0869565194706995,0.0869565194706995,0.0,0.7279411705171389
25,0.0,0.4927536234289012,0.0,0.0
26,0.3333333302777778,0.3333333302777778,0.0,0.8333333256944444
27,0.0,0.0,0.0,0.0
28,0.0,0.4069230705821568,0.0,1.3054919788846913
29,0.0,0.5818181762826447,0.0,0.0
30,0.0,0.0,0.0,0.0
31,1.6190476035374155,0.1904761887528345,0.0,0.0
32,0.9259259305898491,0.9259259305898491,0.0,0.0
33,0.0200668906477555,0.0602006719432665,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.2516666716193888,0.0,0.0
36,0.0,1.4997050391468376,0.0,0.0
37,0.0,0.21739131204023662,0.0931677051601014,0.0
38,0.0,2.39999997888,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,1.481481456241427,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,1.2057516420693628,0.0,0.0,0.0
48,0.3478260837807182,0.1739130418903591,1.0434782513421548,0.0
49,0.0,0.0,0.0,0.0
50,0.0,1.6416857203254243,0.0,0.0
51,0.0,2.1070233905030147,0.0,0.0
52,0.0,2.5820105555233615,0.0,0.0
53,0.0,0.9833333081958334,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,1.731884042152121,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,2.5309090688156033,0.0,0.0
61,0.0,0.0833333318055555,0.0,0.0
