,Unknown,Pre-1900s,20th century,21st century
0,1.0,0.0,0.0,0.0
1,0.6,0.2,0.2,0.0
2,0.5,0.0,0.2,0.3
3,0.8,0.0,0.0,0.2
4,1.0,0.0,0.0,0.0
5,0.4,0.0,0.6,0.0
6,0.1,0.0,0.9,0.0
7,0.0,0.0,1.0,0.0
8,0.8,0.1,0.1,0.0
9,0.7,0.0,0.2,0.1
10,0.3,0.0,0.7,0.0
11,0.4,0.0,0.6,0.0
12,0.1,0.3,0.6,0.0
13,0.9,0.0,0.0,0.1
14,0.7,0.0,0.3,0.0
15,0.0,0.7,0.3,0.0
16,0.1,0.9,0.0,0.0
17,0.2,0.8,0.0,0.0
18,0.9,0.0,0.1,0.0
19,1.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0
21,0.4,0.5,0.1,0.0
22,0.8,0.1,0.1,0.0
23,0.0,0.0,1.0,0.0
24,0.5,0.0,0.1,0.4
25,0.9,0.0,0.0,0.1
26,0.6,0.1,0.0,0.3
27,0.2,0.3,0.0,0.5
28,0.6,0.0,0.2,0.2
29,1.0,0.0,0.0,0.0
30,0.4,0.2,0.0,0.4
31,0.0,0.2,0.8,0.0
32,0.5,0.0,0.3,0.2
33,0.2,0.4,0.4,0.0
34,1.0,0.0,0.0,0.0
35,0.8,0.0,0.1,0.1
36,1.0,0.0,0.0,0.0
37,1.0,0.0,0.0,0.0
38,1.0,0.0,0.0,0.0
39,0.9,0.0,0.0,0.1
40,1.0,0.0,0.0,0.0
41,0.2,0.6,0.2,0.0
42,0.1,0.7,0.2,0.0
43,0.6,0.0,0.4,0.0
44,0.5,0.1,0.4,0.0
45,0.8,0.0,0.2,0.0
46,0.3,0.3,0.4,0.0
47,0.2,0.0,0.8,0.0
48,0.1,0.7,0.2,0.0
49,0.9,0.0,0.1,0.0
50,1.0,0.0,0.0,0.0
51,1.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0
53,0.5,0.0,0.4,0.1
54,1.0,0.0,0.0,0.0
55,0.0,0.9,0.1,0.0
56,0.8,0.2,0.0,0.0
57,0.5,0.0,0.4,0.1
58,0.8,0.0,0.0,0.2
59,0.7,0.1,0.2,0.0
60,0.9,0.0,0.1,0.0
61,0.6,0.0,0.4,0.0
62,1.0,0.0,0.0,0.0
63,0.0,0.7,0.3,0.0
64,1.0,0.0,0.0,0.0
65,0.9,0.0,0.0,0.1
66,1.0,0.0,0.0,0.0
67,1.0,0.0,0.0,0.0
68,0.5,0.5,0.0,0.0
69,1.0,0.0,0.0,0.0
70,1.0,0.0,0.0,0.0
71,0.0,0.0,0.9,0.1
72,0.0,0.0,1.0,0.0
73,0.9,0.0,0.1,0.0
74,1.0,0.0,0.0,0.0
75,0.8,0.1,0.1,0.0
76,1.0,0.0,0.0,0.0
77,0.8,0.1,0.1,0.0
78,0.8,0.2,0.0,0.0
79,0.4,0.0,0.1,0.5
80,0.4,0.0,0.1,0.5
81,0.2,0.0,0.0,0.8
82,0.3,0.1,0.6,0.0
83,1.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0
86,0.6,0.4,0.0,0.0
87,1.0,0.0,0.0,0.0
88,1.0,0.0,0.0,0.0
89,0.8,0.0,0.0,0.2
90,1.0,0.0,0.0,0.0
91,0.7,0.0,0.0,0.3
92,0.5,0.0,0.3,0.2
93,1.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0
95,0.4,0.0,0.6,0.0
96,0.9,0.0,0.0,0.1
97,1.0,0.0,0.0,0.0
98,0.2,0.0,0.7,0.1
99,0.9,0.0,0.0,0.1
100,0.8,0.2,0.0,0.0
101,0.9,0.0,0.0,0.1
102,0.0,0.0,1.0,0.0
103,1.0,0.0,0.0,0.0
104,0.9,0.0,0.0,0.1
105,0.5,0.2,0.3,0.0
106,0.8,0.0,0.2,0.0
107,0.8,0.1,0.1,0.0
108,0.4,0.1,0.5,0.0
109,0.0,0.3,0.7,0.0
110,0.6,0.1,0.2,0.1
111,0.9,0.0,0.1,0.0
112,0.3,0.5,0.2,0.0
113,1.0,0.0,0.0,0.0
114,0.6,0.0,0.3,0.1
115,0.8,0.1,0.1,0.0
116,0.4,0.0,0.3,0.3
117,0.9,0.1,0.0,0.0
118,0.9,0.0,0.0,0.1
119,0.9,0.0,0.1,0.0
120,0.5,0.4,0.1,0.0
121,0.4,0.1,0.4,0.1
122,0.4,0.0,0.6,0.0
123,0.9,0.0,0.0,0.1
124,0.9,0.0,0.1,0.0
125,0.9,0.0,0.1,0.0
126,1.0,0.0,0.0,0.0
127,1.0,0.0,0.0,0.0
128,1.0,0.0,0.0,0.0
129,0.9,0.1,0.0,0.0
130,1.0,0.0,0.0,0.0
131,0.9,0.1,0.0,0.0
132,1.0,0.0,0.0,0.0
133,1.0,0.0,0.0,0.0
134,1.0,0.0,0.0,0.0
135,1.0,0.0,0.0,0.0
136,0.1,0.0,0.9,0.0
137,1.0,0.0,0.0,0.0
138,1.0,0.0,0.0,0.0
139,0.9,0.1,0.0,0.0
140,1.0,0.0,0.0,0.0
141,0.1,0.0,0.7,0.2
142,0.0,0.0,0.1,0.9
143,1.0,0.0,0.0,0.0
