,Unknown,21st century,Pre-1900s,20th century
0,2.3999999927999998,0.0,3.5999999891999996,0.0
1,6.666666622222222,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,2.0259739974616293,0.1176470539792389,0.0,0.3636363590082644
6,0.952380951360544,0.0,0.0,0.0
7,2.1999999919333333,0.0,4.399999983866667,0.0
8,0.0,0.0,3.754435099233789,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,8.999999954999998,0.999999995,0.0,0.0
14,0.0,0.0,2.916666650868055,1.2499999932291668
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.2499999996875,0.0,0.0
18,7.599999956400001,0.0,0.0,0.0
19,0.0,0.0,0.8571428522448984,1.99999998857143
20,0.3999999995999998,0.0,0.0,0.0
21,0.0,0.0,0.0,9.999999949999998
22,1.3714285625469391,0.0,0.0,5.666666637222223
23,0.0,0.0,0.0,0.0
24,0.777777777345678,0.2222222220987652,0.0,0.1111111110493826
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.636363634338843
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.7999999952000001,7.199999956800002
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,4.109090905342562,0.0,0.0,0.0
35,1.3555555534395063,0.0,2.1238095201115645,0.0
36,0.0,0.0,0.0,0.0
37,0.4999999999999999,0.0,3.7777777779012345,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,3.4999999999999996,0.9999999999999998,0.0,0.4999999999999999
42,0.7499999996875,0.0,0.7499999996875,4.499999998124999
43,0.2857142855102038,0.0,0.0,0.2857142855102038
44,9.333333284444445,0.0,0.0,0.0
45,0.066666666944444,0.0,0.0,0.0
46,4.599999970200001,0.0,0.0,3.24999998
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.999999995
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,1.3333333280740738
52,0.1535353528813796,0.1454545447669424,0.0,0.10909090857520679
53,0.0,0.0,0.99999999875,1.499999998125
54,7.1999999508000005,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
