docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions
1424845,l-r,2001-2006,20th century,Medium-High,Unknown,['None']
1635511,a-d,2001-2006,Pre-1900s,Medium-High,Unknown,['Southern Europe']
3125814,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Western Asia']
4171369,a-d,2001-2006,Unknown,Medium-High,Unknown,['None']
352765,a-d,2001-2006,Unknown,Medium-Low,Unknown,['None']
8634765,a-d,2001-2006,20th century,Medium-High,Unknown,['Eastern Africa']
2082487,l-r,2001-2006,Pre-1900s,High,Man,['Eastern Asia']
758589,l-r,2001-2006,Unknown,High,Unknown,['Northern America']
3639943,a-d,2001-2006,Pre-1900s,Low,Unknown,['None']
793926,a-d,2001-2006,20th century,Medium-Low,Unknown,['None']
1081355,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None']
4725407,l-r,2001-2006,Unknown,Medium-High,Unknown,['Northern America']
387038,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
5783457,e-k,2001-2006,Pre-1900s,Medium-High,Man,['None']
7382288,e-k,2001-2006,Unknown,Low,Unknown,['None']
1838300,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None']
20145,l-r,2001-2006,Pre-1900s,Medium-High,Man,['None']
1184091,l-r,2001-2006,Unknown,Low,Unknown,['None']
308441,s-,2001-2006,Unknown,Medium-High,Unknown,['None']
2658232,s-,2001-2006,20th century,High,Man,['Northern Europe']
5970152,s-,2001-2006,20th century,Medium-High,Unknown,['Southern Europe']
2884586,s-,2001-2006,Unknown,High,Unknown,['None']
5024646,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
1211854,s-,2001-2006,20th century,Medium-Low,Man,['Western Asia']
1736269,s-,2001-2006,Unknown,Low,Unknown,['None']
5096164,a-d,2001-2006,Unknown,Low,Unknown,['None']
1182809,s-,2001-2006,20th century,Low,Man,['Southern Africa']
3907724,s-,2001-2006,21st century,Low,Unknown,['Northern America']
7146993,e-k,2001-2006,Pre-1900s,Low,Man,['Northern America']
80052,s-,2001-2006,Pre-1900s,High,Man,['Western Europe']
8409477,e-k,2001-2006,20th century,High,Unknown,['Eastern Europe']
49669,e-k,2001-2006,Unknown,High,Unknown,['Northern America']
468685,e-k,2001-2006,Pre-1900s,Medium-Low,Man,['None']
364546,s-,2001-2006,Pre-1900s,Medium-High,Unknown,['Northern Europe']
356194,s-,2001-2006,Pre-1900s,Medium-Low,Unknown,['Eastern Asia']
4562115,l-r,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern America']
148789,e-k,2001-2006,Pre-1900s,High,Man,['None']
763654,e-k,2001-2006,20th century,Low,Man,['None']
185966,a-d,2001-2006,Unknown,High,Unknown,['None']
3329154,a-d,2001-2006,Pre-1900s,High,Unknown,['Western Asia']
6170724,e-k,2001-2006,21st century,Low,Unknown,['Southern Asia']
8219779,s-,2001-2006,Pre-1900s,Low,Man,['Eastern Asia']
7579839,l-r,2001-2006,Pre-1900s,Low,Man,['None']
2147120,e-k,2001-2006,20th century,Medium-Low,Man,['Western Europe']
6196328,a-d,2001-2006,20th century,Low,Unknown,['Eastern Asia']
8068836,l-r,2001-2006,20th century,Low,Unknown,['Western Asia']
392210,e-k,2001-2006,20th century,Medium-High,Unknown,['None']
8600611,l-r,2001-2006,20th century,Medium-Low,Unknown,['Northern America']
2611519,a-d,2001-2006,20th century,High,Woman,['Caribbean']
2853185,l-r,2001-2006,20th century,High,Unknown,['None']
4572296,l-r,2001-2006,21st century,Medium-Low,Unknown,['None']
291026,l-r,2001-2006,21st century,High,Unknown,['None']
6772438,e-k,2001-2006,21st century,Medium-Low,Unknown,['None']
881245,l-r,2001-2006,21st century,Low,Unknown,['None']
2091364,s-,2001-2006,21st century,Medium-Low,Man,['Southern Asia']
5306673,a-d,2001-2006,21st century,Medium-High,Unknown,['Western Asia']
1711140,l-r,2001-2006,21st century,Medium-High,Unknown,['Northern America']
1980918,a-d,2001-2006,21st century,Medium-Low,Unknown,['Northern Europe']
3299482,e-k,2001-2006,21st century,Medium-High,Unknown,"['Eastern Asia', 'Northern America']"
765581,s-,2001-2006,21st century,Medium-High,Unknown,['None']
3373496,a-d,2001-2006,21st century,Low,Unknown,['Australia and New Zealand']
57577276,a-d,2017-2022,Unknown,Low,Unknown,['None']
36446483,e-k,2007-2011,Unknown,Low,Unknown,['Western Europe']
17527393,a-d,2007-2011,20th century,Low,Unknown,['Northern America']
15175449,a-d,2007-2011,20th century,Medium-Low,Unknown,['Eastern Europe']
10780499,a-d,2007-2011,Pre-1900s,Low,Unknown,['Northern America']
21613101,l-r,2007-2011,Unknown,Low,Unknown,['Eastern Europe']
25240261,a-d,2007-2011,Unknown,Medium-High,Unknown,['None']
27047379,e-k,2007-2011,20th century,Medium-High,Man,['Eastern Asia']
25800982,a-d,2007-2011,Unknown,Low,Unknown,['None']
31083241,a-d,2007-2011,Unknown,Medium-Low,Unknown,['None']
9342307,a-d,2007-2011,21st century,Low,Unknown,['Northern America']
22654426,l-r,2007-2011,Unknown,Medium-Low,Unknown,['Northern Europe']
11827089,s-,2007-2011,Pre-1900s,Medium-Low,Unknown,['None']
18130020,e-k,2007-2011,20th century,Low,Man,['Eastern Asia']
25389632,s-,2007-2011,Unknown,Low,Unknown,['None']
8706744,e-k,2007-2011,21st century,Low,Unknown,['None']
16893086,e-k,2007-2011,Pre-1900s,Low,Man,['Northern America']
28883999,s-,2007-2011,20th century,Low,Man,['None']
9990365,e-k,2007-2011,20th century,Medium-Low,Man,['Eastern Asia']
12345604,l-r,2007-2011,Unknown,Medium-High,Unknown,['None']
9465748,e-k,2007-2011,Pre-1900s,Medium-Low,Man,['Western Europe']
13558050,s-,2007-2011,Unknown,High,Unknown,['None']
20194358,s-,2007-2011,Pre-1900s,Low,Man,['None']
9648387,e-k,2007-2011,Unknown,Medium-Low,Unknown,['None']
