docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions
131359,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
156825,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
133471,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
4263502,l-r,2001-2006,Unknown,Medium-Low,Unknown,['South America']
118096,s-,2001-2006,Unknown,Low,Unknown,['Northern America']
260950,l-r,2001-2006,Unknown,High,Unknown,['South-eastern Asia']
1531468,s-,2001-2006,Pre-1900s,Medium-Low,Unknown,['Eastern Europe']
2706590,l-r,2001-2006,Unknown,Low,Unknown,['Eastern Africa']
1668439,s-,2001-2006,Unknown,Medium-High,Unknown,['Southern Asia']
54159,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern America']
2051294,e-k,2001-2006,Unknown,Medium-High,Unknown,['South-eastern Asia']
2158817,a-d,2001-2006,Unknown,Medium-High,Unknown,['Western Africa']
119073,a-d,2001-2006,Pre-1900s,Low,Unknown,['Northern America']
493552,a-d,2001-2006,Pre-1900s,High,Unknown,['Southern Africa']
3593767,l-r,2001-2006,Unknown,Medium-High,Unknown,['Southern Asia']
52026056,e-k,2001-2006,Unknown,Low,Unknown,['Southern Europe']
2173945,s-,2001-2006,Pre-1900s,Medium-High,Unknown,['Southern Asia']
544770,l-r,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern Europe']
122215,s-,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
3060759,a-d,2001-2006,Unknown,High,Unknown,['Northern America']
328636,e-k,2001-2006,20th century,Low,Unknown,['Eastern Asia']
6515609,s-,2001-2006,20th century,Low,Unknown,['South America']
127705,l-r,2001-2006,20th century,Low,Unknown,['Northern America']
5227885,l-r,2001-2006,20th century,Medium-Low,Unknown,['Eastern Europe']
7897682,s-,2001-2006,20th century,Medium-Low,Unknown,['Southern Europe']
329704,e-k,2001-2006,20th century,Medium-Low,Unknown,['Eastern Asia']
115401,a-d,2001-2006,20th century,Low,Unknown,['Northern America']
4998323,e-k,2001-2006,Pre-1900s,Low,Unknown,['Northern Europe']
1342072,e-k,2001-2006,Unknown,High,Unknown,"['Antarctica', 'Northern Europe']"
131926,l-r,2001-2006,Pre-1900s,Low,Unknown,['Northern America']
5465886,e-k,2001-2006,Pre-1900s,Medium-Low,Unknown,['Caribbean']
2452038,a-d,2001-2006,20th century,Medium-High,Unknown,['Southern Asia']
996747,a-d,2001-2006,20th century,Medium-Low,Unknown,['South America']
145195,s-,2001-2006,Unknown,High,Unknown,['Northern Europe']
878772,s-,2001-2006,Pre-1900s,Low,Unknown,['Eastern Asia']
3031207,a-d,2001-2006,Pre-1900s,Medium-High,Unknown,['Eastern Europe']
1502610,l-r,2001-2006,21st century,Low,Unknown,['Eastern Asia']
3906653,l-r,2001-2006,20th century,Medium-High,Unknown,['Eastern Europe']
5361201,s-,2001-2006,21st century,Low,Unknown,['Eastern Asia']
874320,e-k,2001-2006,21st century,Low,Unknown,['Eastern Asia']
1585609,s-,2001-2006,21st century,Medium-Low,Unknown,['Eastern Asia']
121091,a-d,2001-2006,21st century,Low,Unknown,['Western Europe']
178184,s-,2001-2006,Pre-1900s,High,Unknown,['Southern Europe']
1433480,l-r,2001-2006,Pre-1900s,Medium-High,Unknown,['Eastern Europe']
6390902,e-k,2001-2006,21st century,Medium-Low,Unknown,['Eastern Asia']
155791,e-k,2001-2006,Pre-1900s,Medium-High,Unknown,['Northern America']
3583093,l-r,2001-2006,21st century,Medium-Low,Unknown,['Western Europe']
482088,s-,2001-2006,20th century,High,Unknown,['Eastern Asia']
