docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
131359,a-d,2001-2006,Unknown,Low,Unknown,['Northern America'],"{131392, 133697, 131360, 119341, 133843, 131356, 133430, 119351, 133436, 119389}"
156825,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe'],"{156835, 158308, 156163, 156839, 156137, 156844, 156143, 156848, 156148, 154395}"
133471,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"{133376, 133477, 133479, 133358, 131347, 133786, 133465, 131357, 131323, 133501}"
4263502,l-r,2001-2006,Unknown,Medium-Low,Unknown,['South America'],"{5667456, 735938, 14345221, 735974, 15229159, 4521863, 2953896, 6147532, 1136655, 5668632}"
118096,s-,2001-2006,Unknown,Low,Unknown,['Northern America'],"{119297, 118116, 118284, 117101, 117677, 118095, 118162, 133208, 133213, 132606}"
260950,l-r,2001-2006,Unknown,High,Unknown,['South-eastern Asia'],"{343394, 414247, 1585609, 339081, 214445, 379347, 56917, 1209559, 414237, 2811326}"
1531468,s-,2001-2006,Pre-1900s,Medium-Low,Unknown,['Eastern Europe'],"{20922144, 5851874, 735331, 5268100, 7137508, 2162534, 5730405, 535849, 2009168, 1841791}"
2706590,l-r,2001-2006,Unknown,Low,Unknown,['Eastern Africa'],"{3582947, 14474982, 557736, 19092430, 5146894, 493552, 4286574, 1796216, 44561754, 1728286}"
1668439,s-,2001-2006,Unknown,Medium-High,Unknown,['Southern Asia'],"{2491873, 220130, 5806538, 3459371, 4117068, 25026028, 5809519, 5799346, 5544058, 1378620}"
54159,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern America'],"{259844, 115044, 259848, 126986, 259796, 126552, 259833, 259835, 259646, 127231}"
2051294,e-k,2001-2006,Unknown,Medium-High,Unknown,['South-eastern Asia'],"{2051333, 2413990, 2051334, 2051338, 1044619, 55715725, 1886798, 1456752, 970935, 576542}"
2158817,a-d,2001-2006,Unknown,Medium-High,Unknown,['Western Africa'],"{15501376, 43598884, 2351078, 34745128, 49298058, 42647852, 14823052, 12097680, 42886161, 10414102}"
119073,a-d,2001-2006,Pre-1900s,Low,Unknown,['Northern America'],"{118050, 117731, 117547, 118059, 119085, 117356, 120462, 119351, 119641, 117631}"
493552,a-d,2001-2006,Pre-1900s,High,Unknown,['Southern Africa'],"{5368708, 1589605, 1193896, 2177338, 3115950, 25700403, 50226485, 117525, 5909530, 1190875}"
3593767,l-r,2001-2006,Unknown,Medium-High,Unknown,['Southern Asia'],"{20051264, 2639552, 3752421, 5810152, 2926536, 22505611, 23836876, 2238253, 5806959, 4390557}"
52026056,e-k,2001-2006,Unknown,Low,Unknown,['Southern Europe'],"{24771363, 2082660, 68803525, 38098027, 6274862, 68803535, 52554512, 2601973, 6412538, 18488603}"
2173945,s-,2001-2006,Pre-1900s,Medium-High,Unknown,['Southern Asia'],"{2288065, 328674, 1432228, 2308133, 3677899, 5799346, 2582643, 3709204, 2368121, 5808190}"
544770,l-r,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern Europe'],"{35670211, 11417417, 10889065, 2419723, 1511801, 6032048, 3944822, 424249, 33050908, 18523679}"
