docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
1424845,l-r,2001-2006,20th century,Medium-High,Unknown,['None'],"[8468081, 1694754, 5224471, 10917366, 8486688, 8542404, 37807955, 1325269, 8516307, 12380358]"
1635511,a-d,2001-2006,Pre-1900s,Medium-High,Unknown,['Southern Europe'],"[2252436, 46835001, 1523664, 64281190, 37037241, 14193001, 2533968, 13125889, 5667900, 44913354]"
3125814,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Western Asia'],"[359165, 2831293, 24704924, 2620554, 215271, 34173457, 2512347, 3167547, 32714310, 548769]"
4171369,a-d,2001-2006,Unknown,Medium-High,Unknown,['None'],"[43987120, 3919303, 1039722, 33842855, 1050701, 55777940, 6054498, 33986, 15381890, 149962]"
352765,a-d,2001-2006,Unknown,Medium-Low,Unknown,['None'],"[352774, 16846076, 50596120, 352767, 6876950, 9689850, 31485556, 64477627, 352769, 18551236]"
8634765,a-d,2001-2006,20th century,Medium-High,Unknown,['Eastern Africa'],"[8634292, 42106415, 9822616, 25857113, 5121363, 6881947, 14854585, 42572698, 67986553, 13769741]"
2082487,l-r,2001-2006,Pre-1900s,High,Man,['Eastern Asia'],"[2612861, 1253395, 5088521, 1328482, 28911959, 12368437, 1253254, 423394, 66234106, 730814]"
758589,l-r,2001-2006,Unknown,High,Unknown,['Northern America'],"[1529886, 18259578, 1529968, 31959070, 47010106, 62557269, 795364, 977753, 60093023, 1021339]"
3639943,a-d,2001-2006,Pre-1900s,Low,Unknown,['None'],"[3639912, 3639982, 3640236, 3608318, 3678639, 3678690, 3640157, 3704324, 3608375, 3898708]"
793926,a-d,2001-2006,20th century,Medium-Low,Unknown,['None'],"[784506, 62193401, 817569, 795364, 859531, 832508, 56972107, 1022639, 2077290, 49998461]"
1081355,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None'],"[2470575, 21328159, 19264195, 12795666, 23270801, 9973391, 27851480, 19263988, 10541216, 24067596]"
4725407,l-r,2001-2006,Unknown,Medium-High,Unknown,['Northern America'],"[4764371, 4779307, 4563962, 4743803, 4792736, 4833803, 10740034, 1109569, 4792632, 17237099]"
387038,e-k,2001-2006,Unknown,Medium-High,Unknown,['None'],"[25114151, 36365443, 48534772, 164922, 24020526, 3074386, 11502556, 10655119, 28541843, 1920927]"
5783457,e-k,2001-2006,Pre-1900s,Medium-High,Man,['None'],"[6129898, 18758692, 1966109, 3450931, 595687, 4367641, 3338877, 56549093, 62095899, 47847134]"
7382288,e-k,2001-2006,Unknown,Low,Unknown,['None'],"[7474489, 7535753, 7412053, 7369885, 7382376, 7430862, 7371619, 7367957, 7489591, 7385800]"
1838300,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None'],"[41202961, 40703774, 20985187, 1569465, 67446542, 4247802, 2936102, 1400467, 1124021, 2891399]"
20145,l-r,2001-2006,Pre-1900s,Medium-High,Man,['None'],"[20384108, 26813708, 25851481, 7123322, 34173457, 26248446, 27283356, 68467398, 11760283, 43073087]"
1184091,l-r,2001-2006,Unknown,Low,Unknown,['None'],"[5314366, 554570, 496657, 417141, 20665431, 31592419, 456199, 1159741, 6990031, 1175465]"
