docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
131359,a-d,2001-2006,Unknown,Low,Unknown,['Northern America'],"[131356, 131360, 133436, 133430, 131389, 131366, 131387, 131392, 131399, 131355]"
156825,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe'],"[156844, 156848, 156834, 156839, 156141, 156143, 156146, 156070, 156136, 156170]"
133471,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"[133477, 133479, 133465, 133501, 131360, 131399, 133836, 132996, 133654, 133842]"
4263502,l-r,2001-2006,Unknown,Medium-Low,Unknown,['South America'],"[21301305, 21302194, 18797428, 15311067, 15363765, 31006722, 8960830, 21288620, 7074216, 1948553]"
118096,s-,2001-2006,Unknown,Low,Unknown,['Northern America'],"[117371, 118116, 118079, 118082, 117064, 28790099, 118087, 118093, 118095, 117096]"
260950,l-r,2001-2006,Unknown,High,Unknown,['South-eastern Asia'],"[2051294, 2126574, 43995757, 35849688, 414237, 343394, 18187087, 414247, 64331980, 479278]"
1531468,s-,2001-2006,Pre-1900s,Medium-Low,Unknown,['Eastern Europe'],"[8501357, 8501189, 7023035, 3083394, 2009168, 9267719, 7822425, 3141267, 3063762, 44344763]"
2706590,l-r,2001-2006,Unknown,Low,Unknown,['Eastern Africa'],"[2022259, 3567572, 18521559, 14474982, 14478257, 9319480, 19197599, 14478052, 27031017, 2210438]"
1668439,s-,2001-2006,Unknown,Medium-High,Unknown,['Southern Asia'],"[10298650, 9684046, 2342640, 34159999, 28713991, 10235278, 6272725, 5808942, 26841278, 59828969]"
54159,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern America'],"[126115, 259626, 259646, 259628, 126123, 126656, 259636, 259658, 260189, 259622]"
2051294,e-k,2001-2006,Unknown,Medium-High,Unknown,['South-eastern Asia'],"[2051334, 2051338, 2051333, 1456752, 2126574, 2156539, 260950, 2043960, 414237, 2965386]"
2158817,a-d,2001-2006,Unknown,Medium-High,Unknown,['Western Africa'],"[49298058, 61276879, 169822, 12296344, 25573286, 599034, 2594586, 10414102, 2471089, 16535081]"
119073,a-d,2001-2006,Pre-1900s,Low,Unknown,['Northern America'],"[119093, 119098, 119082, 119095, 119099, 119092, 119091, 119142, 117689, 117443]"
493552,a-d,2001-2006,Pre-1900s,High,Unknown,['Southern Africa'],"[46804638, 45581541, 1113998, 1728286, 34662160, 5814554, 44828288, 52816223, 45584305, 47643096]"
3593767,l-r,2001-2006,Unknown,Medium-High,Unknown,['Southern Asia'],"[7515436, 5810152, 2238253, 5814111, 5803924, 22505611, 2369327, 5282372, 8750982, 3451854]"
52026056,e-k,2001-2006,Unknown,Low,Unknown,['Southern Europe'],"[52554512, 8547000, 2933535, 68731364, 2883155, 68803525, 51623540, 68803552, 68803535, 49794018]"
2173945,s-,2001-2006,Pre-1900s,Medium-High,Unknown,['Southern Asia'],"[56228267, 33362051, 32608689, 63907281, 3559348, 44742668, 65242846, 3558918, 4669322, 4126967]"
544770,l-r,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern Europe'],"[67062072, 13887635, 3944822, 2023241, 15309395, 10889065, 3449902, 2468727, 19666403, 11493990]"
122215,s-,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"[122372, 122214, 130237, 124690, 139674, 116247, 124720, 124707, 124708, 115994]"
3060759,a-d,2001-2006,Unknown,High,Unknown,['Northern America'],"[538031, 12155329, 13436769, 533801, 260950, 538004, 47693632, 56208112, 2879687, 56947360]"
328636,e-k,2001-2006,20th century,Low,Unknown,['Eastern Asia'],"[1677756, 860817, 1157105, 328622, 11973443, 862341, 328631, 328624, 3744223, 862601]"
6515609,s-,2001-2006,20th century,Low,Unknown,['South America'],"[3606358, 1014178, 6513944, 1044470, 6494101, 6515558, 1034819, 1077975, 6515623, 1077956]"
127705,l-r,2001-2006,20th century,Low,Unknown,['Northern America'],"[110237, 109904, 122353, 109991, 106921, 107047, 110002, 107240, 110447, 151098]"
5227885,l-r,2001-2006,20th century,Medium-Low,Unknown,['Eastern Europe'],"[8405045, 5178341, 44293264, 7852916, 6434422, 9546509, 6458126, 9195608, 7822333, 2475538]"
7897682,s-,2001-2006,20th century,Medium-Low,Unknown,['Southern Europe'],"[31464170, 19999400, 7014094, 13423162, 36925226, 33866296, 9010683, 14658237, 29829887, 66395302]"
329704,e-k,2001-2006,20th century,Medium-Low,Unknown,['Eastern Asia'],"[329700, 329709, 329716, 1119484, 5224990, 5494101, 328474, 328473, 864948, 328532]"
115401,a-d,2001-2006,20th century,Low,Unknown,['Northern America'],"[115378, 115448, 115394, 115111, 115342, 115457, 115121, 114308, 115450, 115391]"
4998323,e-k,2001-2006,Pre-1900s,Low,Unknown,['Northern Europe'],"[5546179, 5546317, 7630266, 5575954, 4398534, 5021135, 5020809, 42442125, 5051595, 7438638]"
1342072,e-k,2001-2006,Unknown,High,Unknown,"['Antarctica', 'Northern Europe']","[15535690, 27551206, 1442123, 27576683, 29686074, 16787394, 417663, 21294025, 27579842, 4931915]"
