docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
1752311,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"{7131746, 12577063, 2449959, 4447146, 26035179, 4701614, 17948605, 17934674, 11350741, 12927453}"
1594259,a-d,2001-2006,Unknown,High,Unknown,['Southern Europe'],"{53030273, 1545386, 27256588, 35264398, 864371, 2073014, 23962234, 4562840, 1502522, 54388828}"
2657708,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe'],"{1745570, 319939, 2309350, 25752539, 7127602, 34748051, 13122074, 18255674, 11393019, 88350}"
56701,e-k,2001-2006,Unknown,Medium-High,Unknown,['Southern Europe'],"{67157440, 3649, 772358, 10739, 2155446, 56697, 67323, 3203836, 20171839, 3251839}"
6135022,a-d,2001-2006,Unknown,Low,Unknown,['Northern America'],"{19092390, 3393480, 21587308, 6136079, 3287440, 4344399, 6244340, 6135509, 3909815, 6136159}"
1947086,e-k,2001-2006,Unknown,High,Unknown,['Northern America'],"{32241594, 422273, 383778, 41953925, 3359271, 683693, 71095, 413562, 2035580, 17947647}"
724506,l-r,2001-2006,Unknown,Medium-High,Unknown,['None'],"{414247, 4245288, 17789095, 57127724, 214445, 18783244, 267087, 1606773, 414237, 38644126}"
4846076,s-,2001-2006,Unknown,Medium-High,Unknown,['Eastern Asia'],"{923364, 739493, 8637868, 683693, 4846157, 1919472, 3461205, 54651323, 1831291, 43124222}"
588981,l-r,2001-2006,Unknown,High,Unknown,['Eastern Europe'],"{632673, 590917, 2581744, 44337919, 589044, 589013, 589077, 589047, 589148, 589087}"
460902,s-,2001-2006,Unknown,High,Unknown,['Southern Europe'],"{31090499, 460904, 3844745, 31089451, 31090298, 31089783, 9857722, 11373339, 31080414, 31089599}"
4346338,e-k,2001-2006,20th century,Medium-High,Unknown,['Northern America'],"{49809474, 20936387, 418116, 62306539, 3244305, 474065, 5482003, 14413369, 5256733, 15243455}"
86872,l-r,2001-2006,Pre-1900s,Medium-High,Unknown,['Western Europe'],"{2325251, 900484, 29134085, 1618666, 362506, 3156571, 3583481, 49230234, 3571003, 1046591}"
4474226,e-k,2001-2006,Unknown,Low,Unknown,['None'],"{40854848, 40672740, 38795918, 34232599, 40672088, 40561434, 40854843, 40854844, 40975194, 40223199}"
1139674,l-r,2001-2006,Unknown,Low,Unknown,['Western Europe'],"{36404905, 45466190, 1045615, 1139759, 44894287, 31499252, 2613237, 30334838, 10062426, 25911098}"
6656477,a-d,2001-2006,Unknown,Medium-High,Unknown,['Eastern Europe'],"{56087106, 23377831, 47667337, 1073869, 3198542, 40758709, 62523416, 2418745, 48153148, 51146366}"
690557,e-k,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern Europe'],"{63903841, 1992679, 17326667, 18392176, 40400245, 7443413, 721691, 681500, 693981, 12274750}"
506349,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe'],"{18212197, 2993446, 2121062, 18212169, 45466190, 1577425, 8258454, 30334838, 10062426, 25911098}"
715914,e-k,2001-2006,20th century,Low,Unknown,['Eastern Asia'],"{719843, 42883047, 42718056, 24091625, 8518215, 15253423, 716276, 15253461, 13653399, 15253437}"
4206474,a-d,2001-2006,20th century,Low,Unknown,['Northern America'],"{4206465, 4181057, 23122466, 2449959, 4496872, 68589256, 18895021, 7954806, 4206492, 8423422}"
7701761,s-,2001-2006,Unknown,Low,Unknown,['Northern America'],"{9780130, 19295747, 19295813, 19276392, 19295693, 19274130, 19295859, 19273012, 5791162, 11030971}"
2307703,l-r,2001-2006,21st century,Medium-Low,Unknown,['Southern Europe'],"{31071520, 30724414, 2326722, 2445730, 30672736, 31276455, 460904, 2445711, 31077552, 31080414}"
950891,s-,2001-2006,20th century,Medium-Low,Unknown,['Eastern Asia'],"{22216001, 960289, 957799, 1496105, 950954, 22951244, 25790030, 1210417, 12867732, 951064}"
2397932,s-,2001-2006,Unknown,Medium-Low,Unknown,['South-eastern Asia'],"{55734560, 2399393, 9534209, 55735530, 56812945, 55735314, 55735061, 2399382, 55751384, 2370554}"
