docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
1752311,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"[17948605, 18233918, 52322925, 52271152, 13630531, 6896252, 17934674, 2066463, 17917942, 11350741]"
1594259,a-d,2001-2006,Unknown,High,Unknown,['Southern Europe'],"[3296337, 34971143, 626232, 39287801, 45606526, 1514299, 26920001, 13261189, 12837302, 43818828]"
2657708,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe'],"[10369605, 10506465, 6051111, 7052030, 10033905, 2970833, 10033768, 5563709, 5935289, 10033912]"
56701,e-k,2001-2006,Unknown,Medium-High,Unknown,['Southern Europe'],"[56697, 17812, 12029, 161036, 10739, 3658, 19283, 27200, 27260, 27433]"
6135022,a-d,2001-2006,Unknown,Low,Unknown,['Northern America'],"[6136079, 6244340, 21587308, 6135509, 21587182, 3741936, 10092141, 3909815, 14076977, 3923699]"
1947086,e-k,2001-2006,Unknown,High,Unknown,['Northern America'],"[71095, 413562, 16296751, 5838783, 32241594, 3026484, 7896331, 3359271, 422273, 42696505]"
724506,l-r,2001-2006,Unknown,Medium-High,Unknown,['None'],"[38644126, 960259, 13653399, 37510089, 37510086, 1209464, 57127724, 37510095, 37510102, 37510078]"
4846076,s-,2001-2006,Unknown,Medium-High,Unknown,['Eastern Asia'],"[8637868, 43124222, 976805, 923364, 683693, 3461205, 54138895, 4846157, 56293304, 25135694]"
588981,l-r,2001-2006,Unknown,High,Unknown,['Eastern Europe'],"[589013, 589047, 589009, 44337919, 590917, 632673, 19074189, 4095274, 589087, 590921]"
460902,s-,2001-2006,Unknown,High,Unknown,['Southern Europe'],"[460904, 11373339, 460907, 9857722, 31089505, 31089888, 31090499, 31089783, 31090411, 31089451]"
4346338,e-k,2001-2006,20th century,Medium-High,Unknown,['Northern America'],"[710904, 2849684, 12597761, 9342137, 32891348, 9531581, 1475167, 15503989, 12575708, 18214123]"
86872,l-r,2001-2006,Pre-1900s,Medium-High,Unknown,['Western Europe'],"[2325251, 900484, 24436607, 2313936, 52803665, 59398283, 15882029, 15862866, 52505350, 3039831]"
4474226,e-k,2001-2006,Unknown,Low,Unknown,['None'],"[40223199, 36084009, 38795918, 38086747, 40855675, 40489548, 5411029, 17698008, 35792983, 37009986]"
1139674,l-r,2001-2006,Unknown,Low,Unknown,['Western Europe'],"[1139759, 2613237, 1045615, 10062426, 884688, 26565434, 2784408, 26566369, 18004899, 28364541]"
6656477,a-d,2001-2006,Unknown,Medium-High,Unknown,['Eastern Europe'],"[51146366, 56087106, 1652099, 1073869, 40758709, 48988447, 2418745, 3198542, 39863329, 23741076]"
690557,e-k,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern Europe'],"[12332659, 681500, 7006839, 694260, 11124685, 8022540, 19295859, 8286092, 13206304, 693981]"
506349,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe'],"[2121062, 18212169, 2030671, 44082983, 8258454, 1577425, 18212197, 2337895, 9364206, 18212259]"
715914,e-k,2001-2006,20th century,Low,Unknown,['Eastern Asia'],"[716276, 719843, 15253574, 15253437, 4180460, 15253423, 15253549, 15253467, 15253537, 15253496]"
4206474,a-d,2001-2006,20th century,Low,Unknown,['Northern America'],"[4206492, 4181057, 4206465, 4206699, 4271645, 15519981, 8423422, 4496872, 17954710, 17694788]"
7701761,s-,2001-2006,Unknown,Low,Unknown,['Northern America'],"[19295859, 19295813, 8040402, 19295747, 19295693, 19274808, 19274332, 19274130, 17235840, 19273216]"
2307703,l-r,2001-2006,21st century,Medium-Low,Unknown,['Southern Europe'],"[31276455, 2326722, 3834323, 2445715, 2445730, 3834275, 1806321, 2445644, 31077552, 461105]"
950891,s-,2001-2006,20th century,Medium-Low,Unknown,['Eastern Asia'],"[22951244, 1210417, 1496113, 1210408, 950954, 951099, 1215362, 1496105, 1209464, 22216001]"
2397932,s-,2001-2006,Unknown,Medium-Low,Unknown,['South-eastern Asia'],"[2370554, 55735314, 56812945, 55735530, 55734560, 2399382, 9534209, 55749667, 47437616, 55735061]"
5019081,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['South-eastern Asia'],"[56063766, 1844890, 3825811, 38289143, 68264093, 38634064, 52959323, 23418330, 38634193, 2890432]"
2298723,s-,2001-2006,20th century,Low,Man,['None'],"[8357610, 755477, 9520805, 4270958, 41099341, 5007188, 10330259, 43689118, 1246352, 61117074]"
1383391,a-d,2001-2006,Pre-1900s,Low,Unknown,['Western Europe'],"[1881847, 1382561, 1382022, 1392716, 1882546, 1569124, 1383392, 1386347, 1393005, 1375627]"
