docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
131359,a-d,2001-2006,Unknown,Low,Unknown,['Northern America'],"{131360, 131392, 132877, 132878, 131411, 131356, 133430, 134073, 131355, 133436}"
156825,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe'],"{154400, 156163, 157509, 156839, 156173, 156846, 40934926, 156848, 158323, 156830}"
133471,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"{132996, 133477, 133479, 133836, 131347, 132309, 133465, 131355, 133501, 132767}"
4263502,l-r,2001-2006,Unknown,Medium-Low,Unknown,['South America'],"{735938, 21289188, 15229159, 4521863, 4394702, 692786, 18797428, 5668632, 21301305, 15311067}"
118096,s-,2001-2006,Unknown,Low,Unknown,['Northern America'],"{118881, 121508, 117064, 118313, 117962, 118091, 118089, 118095, 119152, 117432}"
260950,l-r,2001-2006,Unknown,High,Unknown,['South-eastern Asia'],"{65502721, 2879687, 2441164, 43995757, 2126574, 50517812, 42160567, 53431161, 912957, 2051294}"
1531468,s-,2001-2006,Pre-1900s,Medium-Low,Unknown,['Eastern Europe'],"{6467072, 2468001, 5851874, 3083394, 8066245, 8501357, 3083341, 2009168, 10075475, 5852031}"
2706590,l-r,2001-2006,Unknown,Low,Unknown,['Eastern Africa'],"{19165635, 14478595, 3567569, 11135666, 2022259, 3303636, 3567572, 3567539, 2271668, 9319480}"
1668439,s-,2001-2006,Unknown,Medium-High,Unknown,['Southern Asia'],"{3320262, 5706695, 5809519, 5802640, 68673455, 68723312, 5806899, 3355955, 49217400, 1490429}"
54159,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern America'],"{126115, 127460, 260197, 260195, 259646, 126600, 259658, 259950, 259921, 127454}"
2051294,e-k,2001-2006,Unknown,Medium-High,Unknown,['South-eastern Asia'],"{2414052, 32210533, 2413990, 2051334, 2051333, 2381565, 2126574, 13122074, 8950204, 659069}"
2158817,a-d,2001-2006,Unknown,Medium-High,Unknown,['Western Africa'],"{2997505, 24465925, 48732241, 49544501, 2602071, 50787065, 599034, 20654300, 13738813, 2137978}"
119073,a-d,2001-2006,Pre-1900s,Low,Unknown,['Northern America'],"{119078, 117356, 119099, 119091, 119092, 119093, 119094, 119095, 119098, 117979}"
493552,a-d,2001-2006,Pre-1900s,High,Unknown,['Southern Africa'],"{9591137, 28141446, 13507430, 2429099, 3459371, 1113998, 19092430, 14501327, 3459290, 1728286}"
3593767,l-r,2001-2006,Unknown,Medium-High,Unknown,['Southern Asia'],"{5812385, 5282372, 5810214, 5806154, 22505611, 7515436, 5796171, 5814111, 5800958, 3593759}"
52026056,e-k,2001-2006,Unknown,Low,Unknown,['Southern Europe'],"{50573794, 68731364, 26077094, 68966, 51727689, 11409898, 2301098, 18611277, 52554512, 28005917}"
2173945,s-,2001-2006,Pre-1900s,Medium-High,Unknown,['Southern Asia'],"{1119495, 1702759, 4669322, 14937072, 32608689, 63907281, 2582643, 1796216, 30553818, 65242846}"
544770,l-r,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern Europe'],"{2419811, 11493990, 2023241, 2402090, 13005069, 5417328, 15309395, 8465235, 3944822, 4085083}"
122215,s-,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"{122468, 122214, 122407, 122473, 124721, 124690, 124659, 122292, 122326, 122303}"
