,e-k,a-d,l-r,s-
0,0.1490909093342809,0.0,0.0,0.0
1,0.159999998528,0.3478260837807182,0.0,0.2904761869528345
2,0.1203703706511488,0.1775362317800225,0.0,0.1203703706511488
3,0.1263636399980205,0.0963674054496628,0.0854978403132025,0.0581818200367602
4,0.19090908909132231,0.0,0.0,0.1333333320888889
5,0.0128205138962853,0.06810581021819659,0.06460206643291651,0.0933102001734445
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.2399999968,0.2399999968,0.8108361042921827,0.7683915985727029
9,0.0,0.0,0.0,0.046052631997706
10,0.0,0.0328874032940408,0.0,0.0
11,0.0,0.0,0.0,0.14078674990351
12,0.0869565209073724,0.0869565209073724,0.2821946142884381,0.2739130408647448
13,0.0,0.0,0.0,0.0
14,0.0,0.827586200332937,2.855172391065874,0.4137931001664685
15,0.0,0.0,0.0,0.0
16,0.1739130418903591,0.222222218271605,0.28502415102616163,0.1111111091358025
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.159999998528
19,0.0,0.0,0.0,0.0
20,0.0869565209073724,0.0,0.1739130418147448,0.3785166204383801
21,0.0,0.0,0.2947368399024931,0.0
22,0.0,0.0,0.0,0.0
23,0.5062656567860755,0.0,0.29573934476391484,0.4010025007749951
24,0.09999999905,0.1999999981,0.2952380924310657,0.1999999981
25,0.2499999978125,0.4622222181349136,0.0,0.159999997888
26,0.683760677702535,0.44505494110025956,0.44505494110025956,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.1739130418147448,0.0,0.3596837910313393
30,0.0,0.0,0.0,0.0
31,0.0909090900413223,0.0909090900413223,0.0909090900413223,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0952380943310657,0.3809523773242628,0.2857142829931971,0.1904761886621314
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.1818181800826446,0.1818181800826446,0.1818181800826446,0.0909090900413223
38,0.0,0.0,0.0,0.0
39,0.159999998528,0.4069565172072287,0.0869565201512287,0.159999998528
40,0.0,0.0072463780014702,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0952380943310657,0.0,0.2857142829931971,0.0952380943310657
44,0.0848484841902663,0.0,0.0,0.0
45,0.0,0.124999998828125,0.1980676309691008,0.0
46,0.0,0.0,0.0,0.0
47,0.0952380943310657,0.0,0.2857142829931971,0.0
48,0.3508771927223144,0.0,0.0,0.0
49,0.1052631568975069,0.09999999905,0.1869565199573724,0.1999999981
50,0.0,0.0,0.0,0.0
51,0.2857142783673471,0.0952380927891157,0.47186145971018184,0.0
52,0.0909090900413223,0.1818181800826446,0.1818181800826446,0.1961722469388292
53,0.0,0.0,0.0,0.0
54,0.0833333311458334,0.173913038941399,0.34886127455148197,0.0
55,0.2499999978125,0.0,0.2499999978125,0.0
56,0.0,0.0,0.0,0.0083333332607638
57,0.144796382080629,0.0,0.0,0.289592764161258
58,0.6153846082840236,0.9230769124260354,0.9725274620595339,0.8609523732227482
59,0.0,0.1521739132053402,0.0,0.0
60,0.2005012495258195,0.0869565201512287,0.0952380935147392,0.0
61,0.0,0.0,0.0,0.0
62,0.0952380943310657,0.1904761886621314,0.1904761886621314,0.1904761886621314
63,0.8654970682452721,0.8421052545152354,1.1578947238781163,0.8558352282406045
64,0.0,0.2739130408647448,0.0869565209073724,0.2869565190073724
65,0.0,0.0,0.0786749483756199,0.0
66,0.0,0.0,0.0,0.0
67,0.0,0.29999999715,0.1999999981,0.2428571405806122
68,1.9857142676467687,0.0869565201512287,0.1249999978125,0.0
69,0.0,0.0909090900413223,0.2727272701239669,0.1818181800826446
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
72,0.0952380943310657,0.0,0.0,0.0
73,0.0869565209073724,0.1739130418147448,0.1739130418147448,0.2915600995310077
74,0.1111111100617284,0.2222222201234568,0.42424242022650754,0.2222222201234568
75,0.0,0.0,0.0,0.0
76,0.0476190489229025,0.0142857151673468,0.0476190489229025,0.095238097845805
77,0.0,0.0,0.0227272734187757,0.0
78,0.1052631568975069,0.2857142829931971,0.0952380943310657,0.2857142829931971
79,0.8695652105860115,1.2399355779385492,1.27777776716821,0.9090909020661158
80,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0
82,0.8506787257484492,0.1176470567474048,0.2499999978125,1.224804596449981
83,0.2813852787034537,0.3766233730345194,0.2857142829931971,0.0
84,0.0,0.0,0.0,0.0
85,0.0,0.99999999125,1.2644927403363264,0.0
86,0.0909090900413223,0.1818181800826446,0.2085561477575852,0.2085561477575852
87,0.0,0.2857142873469382,1.0644068617196936,0.0428571436734692
88,0.2608695629489603,0.4619565164238245,0.5217391258979206,1.0434782517958412
89,0.0,0.0,1.2267552037798062,0.0
90,0.0,0.0,0.0,0.0
91,0.1818181800826446,0.0909090900413223,0.0,0.1818181800826446
92,0.0,0.0,0.0,0.0
93,0.479999995776,0.479999995776,0.239999997888,0.959999991552
94,1.0600413982046302,0.1739130418903591,0.3478260837807182,0.1739130418903591
95,0.0,0.0,0.0,0.0
96,0.1818181800826446,0.3636363601652892,0.0,0.3636363601652892
97,0.0,0.0,0.1779904307073577,0.2632034634991115
98,0.0,0.0,3.712529756480354,0.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,0.1428571415306122,0.2222222201234568,0.2539682515923406,0.1111111100617284
102,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0
104,0.0,0.0952380943310657,0.5062656593546521,0.2957393455596383
105,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0
107,0.5294117644166306,0.2647058822083153,0.9690799402124934,0.2647058822083153
108,0.0,0.0,0.179999998282,0.3478260836294896
109,0.0,0.1010101051882458,0.0,0.0854700863642339
110,0.3174603145779793,0.0952380943310657,0.0952380943310657,0.0
111,0.6678260808367182,0.0909090892561983,0.3478260837807182,0.1739130418903591
112,1.249999992403161e-09,0.0,2.499999984806322e-09,2.499999984806322e-09
113,1.656804748950691e-09,3.313609497901382e-09,3.313609497901382e-09,0.012307700507266296
114,0.2857142829931971,0.2285714264199546,0.0952380943310657,0.3333333301927436
115,0.0869565201512287,0.1666666651388889,0.8464052212036504,0.4871794827038133
116,0.0952380943310657,0.1904761886621314,0.124999998828125,0.2857142829931971
117,0.2962962937722909,0.5925925875445818,1.0484330382574818,0.7301587226617396
118,0.0,0.0,0.0,0.0
119,0.1818181800826446,0.0,0.4733782796136523,0.29551266866495757
120,0.1818181800826446,0.0909090900413223,0.1818181800826446,0.3636363601652892
121,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0
125,1.4187191996486204,0.5925925875445818,0.5615763498527021,0.0
126,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0
129,0.0,0.4705882314013841,3.2880060837426686,0.6524064092526238
130,0.0,0.2005012495258195,0.0,0.0
131,0.5861471779709375,0.0,0.0869565201512287,0.384439352324618
132,0.26190476346407277,0.0952380970748296,0.0476190485374148,0.20238095453815858
133,0.0,1.5077777621735695,0.5911111041093334,0.239999997888
134,1.1538461436390535,0.0,0.5356125295543868,0.079999997888
135,0.0,0.0,0.0,0.0
136,0.0,0.2608695629489603,1.4782608559546315,0.1739130412098299
137,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0
140,0.0,0.6904761841695011,0.1666666651388889,0.0
141,0.0,0.0,0.0,0.2116402127600012
142,0.0,0.0,0.0,0.0681818189695248
143,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0
146,0.8052631498360804,0.1818181801652892,0.0,0.5700483040276318
147,0.0952380943310657,0.0,0.3809523773242628,0.1904761886621314
148,0.0,0.26086956521739124,0.1739130434782608,0.0
149,0.0,0.0,0.0,0.0
150,0.1818181800826446,0.2727272701239669,0.3636363601652892,0.0909090900413223
151,0.0,0.0,0.5217391209073722,0.4513457492065206
152,0.1818181800826446,0.0909090900413223,0.46363635921528923,0.1818181800826446
153,0.0740740720987654,0.0,0.0,0.0
154,0.6923076861834321,1.1538461436390535,0.2142857123724489,0.2307692287278107
155,0.2647058837910898,0.1323529418955449,0.0,0.0
156,0.5078260823087182,0.3478260837807182,0.3478260837807182,0.49391303894635913
157,0.0,0.0,0.0,0.0
158,0.0909090900413223,0.1818181800826446,0.2727272701239669,0.3529411731487887
