,Unknown,20th century,Pre-1900s,21st century
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,9.999999949999998,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,6.666666666666667,0.0,0.0,0.0
7,9.999999949999998,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,7.142857133673469,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,3.4615384548816577,0.0,0.0,0.0
12,7.9999999599999985,0.0,0.0,0.999999995
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,5.999999969999999,1.99999999,0.0,1.99999999
16,1.99999999,4.999999975,0.999999995,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.2857142816326531,0.0,0.0
19,0.3999999952,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,4.999999975,0.999999995,2.999999985
23,0.0,5.999999969999999,2.999999985,0.0
24,3.1111110990123456,0.0,0.7777777747530864,0.0
25,5.999999969999999,0.999999995,2.999999985,0.0
26,5.846153811952663,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,5.7999999702,0.0,0.999999995
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,4.7999999855999995,0.0,0.0,0.0
32,4.999999975,0.999999995,0.0,0.0
33,0.999999995,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,3.4999999912499993,0.9999999974999998,0.4999999987499999,0.0
40,0.0,0.0,0.0,0.4999999999999999
41,4.499999988749999,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,1.333333323888889,2.333333318888889,4.333333308888889,0.0
45,0.0,2.999999985,0.0,0.0
46,8.333333289444445,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,4.999999975,0.999999995,2.999999985
49,0.0,0.999999995,6.999999964999999,0.0
50,0.0,0.0,0.0,0.0
51,0.0,1.9333333187333335,1.1333333235333334,0.0
52,7.9999999599999985,0.0,0.999999995,0.0
53,0.0,0.0,0.0,0.0
54,1.4999999887500002,2.4999999812500002,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,4.499999999999999,0.4999999999999999,0.0,0.0
58,1.7999999981999992,0.1999999997999999,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,5.090909090578513,0.0,0.6363636363223141,0.0
64,6.999999964999999,0.999999995,0.0,0.0
