,Medium-High,Low,High,Medium-Low
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,8.999999954999998,0.0,0.999999995
5,0.0,0.0,0.0,0.0
6,0.6666666666666666,6.0,0.0,0.0
7,0.0,9.999999949999998,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,6.428571420306122,0.0,0.7142857133673469
10,0.0,0.0,0.0,0.0
11,0.0,2.692307687130178,0.0,0.7692307677514794
12,0.0,5.999999969999999,0.0,2.999999985
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,9.999999949999998,0.0,0.0
16,0.0,2.999999985,0.999999995,3.99999998
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.2857142816326531
19,0.0,0.0,0.0,0.3999999952
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,6.999999964999999,0.0,1.99999999
23,0.0,8.999999954999998,0.0,0.0
24,0.0,2.333333324259259,0.0,1.5555555495061728
25,0.0,5.999999969999999,0.0,3.99999998
26,0.0,4.923076895976331,0.0,0.9230769159763313
27,0.0,0.0,0.0,0.0
28,0.0,5.7999999702,0.0,0.999999995
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,1.7999999945999998,1.7999999945999998,0.0,1.1999999963999999
32,0.999999995,1.99999999,0.0,2.999999985
33,0.999999995,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.4999999987499999,0.9999999974999998,1.4999999962499997,1.9999999949999996
40,0.0,0.4999999999999999,0.0,0.0
41,1.9999999949999996,0.4999999987499999,0.4999999987499999,1.4999999962499997
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,1.99999999,4.333333308888889,0.0,1.6666666527777778
45,0.0,2.999999985,0.0,0.0
46,0.999999995,3.99999998,0.999999995,2.3333333194444443
47,0.0,0.0,0.0,0.0
48,0.0,7.9999999599999985,0.0,0.999999995
49,0.0,5.999999969999999,0.0,1.99999999
50,0.0,0.0,0.0,0.0
51,0.0,2.7333333139333336,0.0,0.3333333283333334
52,0.0,7.9999999599999985,0.999999995,0.0
53,0.0,0.0,0.0,0.0
54,1.4999999887500002,2.4999999812500002,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,3.9999999999999996,0.0,0.9999999999999998
58,0.0,1.9999999979999992,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,5.727272726900827,0.0,0.0
