,s-,e-k,a-d,l-r
0,0.0158397557077264,0.0013352285297908,0.0035070782231199,0.0123500353616315
1,0.0,0.0792773778328444,0.0845022629274984,0.0
2,0.0053576343526809,0.0556266481768681,0.0,0.2674466338063793
3,0.0,0.0241940866629344,0.0308874939431695,0.0
4,0.0,0.0,0.0196829177976238,0.0
5,0.0,0.0,0.2141725209478268,0.0675435460808079
6,0.0,0.0,0.0,0.0551864154869711
7,0.107867450640687,0.0204895759034217,0.0,0.38563470957811574
8,0.0,0.0188314383500711,0.0048120300852745,0.0
9,0.18112039601388918,0.0009239411703346,0.0681018402006909,0.1472371549797811
10,0.2271121855525134,0.1755042109349696,0.0883790603924692,0.105831672930019
11,0.043527397023973104,0.0,0.0115844672622389,0.0
12,0.0888888886068147,0.3166343339160286,0.0,0.0
13,0.153076757161495,0.0,0.0057829042313227,0.0160112381264121
14,0.0,0.0025330710538607,0.1469401850974549,0.2602033929666844
15,0.0,0.0,0.0,0.0256930359914729
16,0.0304466230998451,0.0981601124990194,0.0327768303241654,0.0636189258475702
17,0.03010033459472,0.0,0.0,0.0
18,0.044719102260789,0.046876374390205304,0.0,0.0383669886031076
19,0.0068093384399581,0.0054960248337512,0.0007462687191791,0.0
20,0.048234680255925,0.0145064404068927,0.0,0.0
21,0.0444463735281981,0.0341981022499625,0.0125767115991887,0.01327173357495
22,0.0,0.0416717678528855,0.1503990967261212,0.0360801347901431
23,0.0673595876192904,0.0,0.0850503079398435,0.0395827125846017
24,0.0,0.8221093352397157,0.3774567364175999,0.4561306206020994
25,0.2635424835409779,0.0,0.0593559720247261,0.0
26,0.0329218106717249,0.0242566511374713,0.148262499746329,0.0
27,0.0,0.06990588316297949,0.0,0.0
28,0.0,0.5747900411777331,0.17205639852260168,0.2862918254929666
29,0.0735444329531062,0.1642033323937585,0.0059065228169332,0.0
30,0.0,0.0979864150507967,0.0,0.0158035129753123
31,0.0168103826084883,0.0,0.0,0.0
32,0.07090827893120541,0.0,0.3932377278849706,0.0617262520796571
