docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
1424845,l-r,2001-2006,20th century,Medium-High,Unknown,['None'],"{12514149, 6237767, 32096410, 24020777, 599519, 61582874, 5909530, 25762268, 121404, 6773535}"
1635511,a-d,2001-2006,Pre-1900s,Medium-High,Unknown,['Southern Europe'],"{21364259, 11059108, 61450762, 13016219, 19018958, 19018962, 20978135, 20962105, 13016187, 13016158}"
3125814,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Western Asia'],"{58220288, 2696004, 3172517, 3175338, 27408522, 3175692, 745866, 67929386, 3208657, 6116378}"
4171369,a-d,2001-2006,Unknown,Medium-High,Unknown,['None'],"{69144515, 5447139, 6988763, 3919303, 1039722, 20090171, 6159991, 1039546, 58003579, 64961502}"
352765,a-d,2001-2006,Unknown,Medium-Low,Unknown,['None'],"{50622304, 352769, 69128866, 352773, 352774, 6876950, 16846076, 14980733, 41313886, 352767}"
8634765,a-d,2001-2006,20th century,Medium-High,Unknown,['Eastern Africa'],"{23914051, 56476133, 44904197, 41704361, 39032331, 38101230, 6023888, 3090962, 8634292, 3277663}"
2082487,l-r,2001-2006,Pre-1900s,High,Man,['Eastern Asia'],"{8152868, 7941646, 8040432, 8571068, 1253395, 12368437, 6725175, 1601691, 5947356, 2612861}"
758589,l-r,2001-2006,Unknown,High,Unknown,['Northern America'],"{977856, 1032196, 2076423, 31177864, 19400045, 1529968, 850102, 41497207, 812701, 1529886}"
3639943,a-d,2001-2006,Pre-1900s,Low,Unknown,['None'],"{43807909, 3640997, 44137511, 11694213, 41208908, 3639982, 34030286, 51247088, 3898708, 3573278}"
793926,a-d,2001-2006,20th century,Medium-Low,Unknown,['None'],"{966784, 850373, 988070, 751334, 49998461, 2104176, 65882480, 784506, 832508, 15054237}"
1081355,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None'],"{19264481, 19264195, 47103176, 20100750, 2470575, 20169200, 19264369, 19263988, 19821660, 22560414}"
4725407,l-r,2001-2006,Unknown,Medium-High,Unknown,['Northern America'],"{10740034, 4767299, 5343909, 4763686, 4833803, 17237099, 4930641, 4743891, 4563962, 4743803}"
387038,e-k,2001-2006,Unknown,Medium-High,Unknown,['None'],"{12432546, 52593283, 58740057, 16991049, 44913354, 2492171, 19124753, 50539794, 14851545, 15796989}"
5783457,e-k,2001-2006,Pre-1900s,Medium-High,Man,['None'],"{31864577, 727585, 23501860, 483051, 54065037, 17863310, 58491567, 9050830, 16059670, 34365759}"
7382288,e-k,2001-2006,Unknown,Low,Unknown,['None'],"{7474434, 31078522, 7382376, 7370314, 7430862, 7414997, 7436503, 7474489, 7382618, 7369885}"
1838300,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None'],"{4767299, 6161317, 4763686, 3590567, 5487784, 6333899, 50769456, 18325233, 57445843, 66601979}"
20145,l-r,2001-2006,Pre-1900s,Medium-High,Man,['None'],"{41053639, 41635976, 50734921, 48554377, 39472427, 65311821, 41350259, 25851481, 37623483, 40762588}"
1184091,l-r,2001-2006,Unknown,Low,Unknown,['None'],"{5976804, 14318021, 554570, 69534474, 23860368, 1092337, 68641471, 10924185, 5314366, 49354809}"
308441,s-,2001-2006,Unknown,Medium-High,Unknown,['None'],"{192004, 30117766, 1393161, 19234539, 948213, 25000951, 21216985, 21216988, 32661022, 286777}"
2658232,s-,2001-2006,20th century,High,Man,['Northern Europe'],"{5990948, 17156618, 42345578, 30870127, 11919504, 46798357, 5494968, 40537340, 58901246, 36264959}"
5970152,s-,2001-2006,20th century,Medium-High,Unknown,['Southern Europe'],"{24919779, 24727237, 31047270, 23728294, 3562317, 23085135, 43338385, 40584440, 24734779, 25908221}"
2884586,s-,2001-2006,Unknown,High,Unknown,['None'],"{478272, 24795233, 1489477, 1320069, 2038248, 2037037, 2015375, 49446671, 2021429, 64036604}"
5024646,s-,2001-2006,Unknown,Medium-Low,Unknown,['None'],"{41275104, 10396803, 10396740, 40806955, 20676235, 5024240, 10397011, 2986932, 1898196, 1845116}"
1211854,s-,2001-2006,20th century,Medium-Low,Man,['Western Asia'],"{37333978, 4877089, 41418412, 39668336, 37922899, 39702068, 37590133, 39702106, 38599769, 41152122}"
1736269,s-,2001-2006,Unknown,Low,Unknown,['None'],"{1417664, 1405153, 1123072, 1406052, 1393161, 1393097, 429107, 24653557, 1417658, 1417662}"
5096164,a-d,2001-2006,Unknown,Low,Unknown,['None'],"{4468903, 4469546, 4470026, 4470092, 4468912, 4468916, 4055988, 4468920, 4469595, 50921724}"
1182809,s-,2001-2006,20th century,Low,Man,['Southern Africa'],"{43196480, 13974305, 69476517, 66601929, 9271148, 51989584, 470642, 11961526, 12739736, 11824158}"
3907724,s-,2001-2006,21st century,Low,Unknown,['Northern America'],"{33814272, 64367489, 66566946, 3710921, 8450801, 31134610, 41031412, 18348244, 64323189, 51066491}"
7146993,e-k,2001-2006,Pre-1900s,Low,Man,['Northern America'],"{33964832, 11591939, 64593384, 40365417, 3858129, 20676371, 7134967, 41684988, 17642589, 121758}"
80052,s-,2001-2006,Pre-1900s,High,Man,['Western Europe'],"{3082208, 3137222, 3780650, 39456977, 50144243, 37838771, 18391348, 3096440, 3086971, 3131131}"
8409477,e-k,2001-2006,20th century,High,Unknown,['Eastern Europe'],"{30143361, 15770882, 43660898, 10019717, 11972811, 26454223, 48584469, 40246167, 1845116, 31669950}"
49669,e-k,2001-2006,Unknown,High,Unknown,['Northern America'],"{16129986, 46415111, 1175274, 3322763, 35757172, 41129782, 334487, 20140888, 44491741, 15680063}"
468685,e-k,2001-2006,Pre-1900s,Medium-Low,Man,['None'],"{5182690, 385543, 215271, 16194865, 385586, 11187442, 2785236, 21116245, 10369275, 54277053}"
364546,s-,2001-2006,Pre-1900s,Medium-High,Unknown,['Northern Europe'],"{31841922, 18783971, 29728617, 4460747, 13294860, 12755853, 32978191, 16058959, 2662324, 32974139}"
356194,s-,2001-2006,Pre-1900s,Medium-Low,Unknown,['Eastern Asia'],"{1882210, 6982947, 4433061, 1621511, 2634569, 4460747, 7011087, 7046160, 2662324, 3306552}"
4562115,l-r,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern America'],"{39530816, 11579333, 38901830, 4668133, 7104490, 54047823, 62307668, 27240408, 12252504, 17803483}"
