docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
1424845,l-r,2001-2006,20th century,Medium-High,Unknown,['None'],"{20848451, 49345671, 3170472, 6237767, 57678320, 9859505, 27865138, 38797685, 8534462, 42213471}"
1635511,a-d,2001-2006,Pre-1900s,Medium-High,Unknown,['Southern Europe'],"{5199937, 14872929, 43126978, 61450762, 957770, 65843983, 2252436, 41014134, 50899064, 58196925}"
3125814,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Western Asia'],"{24958945, 2626341, 2620554, 2611192, 2626869, 2627158, 2619384, 50007544, 2612506, 1505725}"
4171369,a-d,2001-2006,Unknown,Medium-High,Unknown,['None'],"{64597984, 5447139, 52308230, 1039722, 1527829, 23578390, 3653785, 6988763, 64961502, 1803999}"
352765,a-d,2001-2006,Unknown,Medium-Low,Unknown,['None'],"{50622304, 352769, 352774, 2299271, 67697966, 15812401, 23742006, 352762, 16846076, 352767}"
8634765,a-d,2001-2006,20th century,Medium-High,Unknown,['Eastern Africa'],"{4096585, 4059788, 61268140, 2193102, 8634292, 57643509, 2193111, 52719256, 28941467, 40894972}"
2082487,l-r,2001-2006,Pre-1900s,High,Man,['Eastern Asia'],"{423394, 8152868, 2612861, 5947356, 5946928, 8040432, 1253395, 1601691, 8571068, 224061}"
758589,l-r,2001-2006,Unknown,High,Unknown,['Northern America'],"{1529985, 849729, 55127845, 879686, 20099211, 19400045, 1529968, 977753, 812701, 1529886}"
3639943,a-d,2001-2006,Pre-1900s,Low,Unknown,['None'],"{11771137, 3471811, 23446915, 40005607, 23143796, 3898708, 16687417, 3004251, 7470716, 1035231}"
793926,a-d,2001-2006,20th century,Medium-Low,Unknown,['None'],"{42579362, 36948898, 42702052, 12195878, 46722763, 7509006, 1540953, 784506, 25948829, 15166014}"
1081355,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None'],"{19264481, 11967841, 19264195, 9383877, 20100750, 2470575, 19264369, 19263988, 19265045, 20102750}"
4725407,l-r,2001-2006,Unknown,Medium-High,Unknown,['Northern America'],"{10740034, 4767299, 5343909, 4763686, 5298731, 17237099, 4833803, 4930641, 4764371, 4743891}"
387038,e-k,2001-2006,Unknown,Medium-High,Unknown,['None'],"{12432546, 36365443, 3232679, 19124753, 14080945, 31467859, 48534772, 37034998, 14851545, 56845150}"
5783457,e-k,2001-2006,Pre-1900s,Medium-High,Man,['None'],"{31864577, 49035682, 6129898, 44405591, 63299474, 58406422, 16059670, 4945852, 11191773, 1415199}"
