docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
1752311,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"{13630531, 1446184, 52322925, 34415181, 52271152, 53584856, 27640061, 6896252, 17948605, 18233918}"
1594259,a-d,2001-2006,Unknown,High,Unknown,['Southern Europe'],"{13261189, 34971143, 43818828, 489649, 3296337, 26314418, 12837302, 626232, 45606526, 43819455}"
2657708,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe'],"{19020089, 10361674, 30067435, 21906160, 1220464, 48050259, 17812, 20974359, 10511033, 33187517}"
56701,e-k,2001-2006,Unknown,Medium-High,Unknown,['Southern Europe'],"{1649408, 39527237, 21626508, 54905005, 55823151, 42380499, 9293429, 47097174, 46274106, 1033661}"
6135022,a-d,2001-2006,Unknown,Low,Unknown,['Northern America'],"{33119585, 33178982, 2879687, 21587308, 10092141, 6444143, 6136079, 6244340, 6135509, 32443352}"
1947086,e-k,2001-2006,Unknown,High,Unknown,['Northern America'],"{18166372, 43588964, 18199883, 18354732, 18468816, 71095, 3026616, 3026555, 2035580, 18484894}"
724506,l-r,2001-2006,Unknown,Medium-High,Unknown,['None'],"{960259, 37510086, 37510089, 57127724, 37510095, 1440303, 37510078, 37510102, 13653399, 38644126}"
4846076,s-,2001-2006,Unknown,Medium-High,Unknown,['Eastern Asia'],"{517924, 8637868, 25135694, 343412, 52698037, 39700692, 13411799, 56293304, 59249398, 43124222}"
588981,l-r,2001-2006,Unknown,High,Unknown,['Eastern Europe'],"{43649025, 632673, 17575594, 19229099, 19074189, 589009, 589013, 28352822, 589047, 15166749}"
460902,s-,2001-2006,Unknown,High,Unknown,['Southern Europe'],"{31089888, 31089505, 31090499, 52316490, 31090411, 31089451, 31089783, 31090298, 31080414, 31089599}"
