docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
1752311,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"{13630531, 3288710, 22564427, 52322925, 41121296, 53014331, 6896252, 17948605, 18233918, 14393598}"
1594259,a-d,2001-2006,Unknown,High,Unknown,['Southern Europe'],"{1121091, 13261189, 1545386, 43818828, 35264398, 5364976, 489649, 626232, 23962234, 12828991}"
2657708,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe'],"{38424611, 39917988, 39918501, 40822918, 39918237, 38431817, 38431785, 38872813, 37823058, 38823581}"
56701,e-k,2001-2006,Unknown,Medium-High,Unknown,['Southern Europe'],"{9855817, 56667658, 21626508, 9081178, 3173390, 21407342, 9293429, 2557818, 3203931, 119518}"
6135022,a-d,2001-2006,Unknown,Low,Unknown,['Northern America'],"{24184481, 61784706, 19092390, 15676491, 6444143, 45676111, 63595698, 6244340, 16664379, 12157055}"
1947086,e-k,2001-2006,Unknown,High,Unknown,['Northern America'],"{1367548, 43588964, 3359271, 3214088, 43588653, 40880818, 2319062, 6188826, 2035580, 14736351}"
724506,l-r,2001-2006,Unknown,Medium-High,Unknown,['None'],"{960259, 37510086, 414247, 37510089, 57127724, 37510095, 37510102, 13653399, 17551325, 37510078}"
4846076,s-,2001-2006,Unknown,Medium-High,Unknown,['Eastern Asia'],"{663683, 6705752, 8637868, 4101296, 60342162, 14989651, 3461205, 56293304, 31444281, 43124222}"
588981,l-r,2001-2006,Unknown,High,Unknown,['Eastern Europe'],"{632673, 589087, 590917, 19074189, 589009, 589044, 589077, 589047, 589148, 44337919}"
460902,s-,2001-2006,Unknown,High,Unknown,['Southern Europe'],"{62738560, 2224961, 52060739, 460904, 31089451, 12870317, 8318223, 30724463, 20316339, 8318424}"
4346338,e-k,2001-2006,20th century,Medium-High,Unknown,['Northern America'],"{1072452, 28150566, 55840009, 5285420, 20150805, 15503989, 9293879, 9342137, 4474843, 5256733}"
86872,l-r,2001-2006,Pre-1900s,Medium-High,Unknown,['Western Europe'],"{2325251, 900484, 15882029, 15862866, 4367988, 3596117, 15787967, 3583481, 15862877, 15862879}"
4474226,e-k,2001-2006,Unknown,Low,Unknown,['None'],"{40854848, 40854882, 39522212, 40293160, 41933836, 40293170, 37898711, 40873433, 40854843, 40854844}"
