docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
1752311,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"{4181057, 13630531, 2404711, 52322925, 52271152, 17687220, 10213974, 497465, 17948605, 8423422}"
1594259,a-d,2001-2006,Unknown,High,Unknown,['Southern Europe'],"{37803517, 1121091, 13261189, 9817129, 43818828, 35264398, 489649, 626232, 1171965, 12828991}"
2657708,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe'],"{39768673, 38816674, 42399492, 57056933, 5708746, 38872813, 3451854, 42399474, 39666355, 28212031}"
56701,e-k,2001-2006,Unknown,Medium-High,Unknown,['Southern Europe'],"{1649408, 39527237, 16699271, 48013961, 21626508, 54905005, 42380499, 49429077, 2155446, 8499582}"
6135022,a-d,2001-2006,Unknown,Low,Unknown,['Northern America'],"{12190081, 61784706, 3393480, 33303020, 33750959, 16231922, 4892403, 3525715, 3909815, 12157055}"
1947086,e-k,2001-2006,Unknown,High,Unknown,['Northern America'],"{30845185, 43588964, 3359271, 40880818, 3074005, 43588886, 71095, 38123130, 643383, 30875679}"
724506,l-r,2001-2006,Unknown,Medium-High,Unknown,['None'],"{38644126, 960259, 37510086, 37510089, 10749613, 37510095, 37510102, 13653399, 17551325, 37510078}"
4846076,s-,2001-2006,Unknown,Medium-High,Unknown,['Eastern Asia'],"{68618465, 923364, 739493, 2775756, 49298417, 66829042, 56293304, 31444281, 1305147, 43124222}"
588981,l-r,2001-2006,Unknown,High,Unknown,['Eastern Europe'],"{632673, 590921, 4095274, 19074189, 44337919, 589013, 589077, 5783835, 589148, 589087}"
460902,s-,2001-2006,Unknown,High,Unknown,['Southern Europe'],"{2224961, 52060739, 4337893, 63569734, 460904, 2775756, 64012300, 8318223, 8046513, 20316339}"
4346338,e-k,2001-2006,20th century,Medium-High,Unknown,['Northern America'],"{16297827, 18788357, 1232350, 2229190, 22721607, 42033515, 33527250, 46311644, 5264574, 12755103}"
86872,l-r,2001-2006,Pre-1900s,Medium-High,Unknown,['Western Europe'],"{1618666, 3569963, 536812, 15776176, 15862866, 15787967, 3583481, 15862877, 14433310, 15862879}"
4474226,e-k,2001-2006,Unknown,Low,Unknown,['None'],"{40854848, 40854882, 38329250, 40293160, 40293170, 39834548, 36059764, 37898711, 40854844, 41926398}"
1139674,l-r,2001-2006,Unknown,Low,Unknown,['Western Europe'],"{67105347, 35324773, 12137064, 44792073, 36404905, 1139759, 27730801, 22425906, 4771796, 51980313}"
6656477,a-d,2001-2006,Unknown,Medium-High,Unknown,['Eastern Europe'],"{56087106, 1652099, 491365, 3198542, 68231860, 40758709, 23741076, 62523416, 2418745, 2791420}"
690557,e-k,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern Europe'],"{13292480, 1732449, 741634, 51376642, 38487846, 61145351, 35333992, 62566571, 34218161, 52558712}"
506349,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe'],"{33455130, 22361273, 41174949, 18522243, 22344296, 41174994, 17004121, 10098682, 22361213, 22376063}"
715914,e-k,2001-2006,20th century,Low,Unknown,['Eastern Asia'],"{11927681, 15253571, 8518215, 15253579, 15253489, 15253461, 15300982, 15253467, 15253437, 15301055}"
4206474,a-d,2001-2006,20th century,Low,Unknown,['Northern America'],"{4181057, 2508393, 3647503, 39077711, 6585268, 17687220, 8423422, 10213974, 3075221, 20334718}"
7701761,s-,2001-2006,Unknown,Low,Unknown,['Northern America'],"{20722598, 9932967, 26254826, 12943023, 3220016, 1448689, 9604435, 18967892, 31272471, 20797880}"
2307703,l-r,2001-2006,21st century,Medium-Low,Unknown,['Southern Europe'],"{2326722, 1806179, 461032, 6172586, 2322447, 31077552, 50223795, 9857722, 2322074, 31080414}"
950891,s-,2001-2006,20th century,Medium-Low,Unknown,['Eastern Asia'],"{20175744, 22216001, 58619079, 15253545, 22951244, 5107479, 18600375, 1498682, 27995323, 30803837}"
2397932,s-,2001-2006,Unknown,Medium-Low,Unknown,['South-eastern Asia'],"{69782691, 61040803, 55735530, 56812945, 55735314, 60907219, 44531506, 2399382, 4116312, 2370554}"
5019081,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['South-eastern Asia'],"{5429928, 15114730, 23418330, 43535381, 56063766, 5974837, 3944216, 5005401, 4930586, 25241820}"
2298723,s-,2001-2006,20th century,Low,Man,['None'],"{61328192, 648098, 61028, 19458567, 53721352, 33179561, 3074005, 32485206, 12838711, 1572415}"
1383391,a-d,2001-2006,Pre-1900s,Low,Unknown,['Western Europe'],"{176225, 7583651, 24662757, 41907720, 11522568, 24318060, 53114929, 15574323, 23460438, 35268023}"
