,20th century,Unknown,21st century,Pre-1900s
0,0.0,0.0728171123624504,0.0,0.0460929022896836
1,0.0,0.1374001773036627,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0105433012611895
4,0.0,0.0,0.0,0.0
5,0.0279202280144997,0.0064107448484812,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0070422536866977
8,0.0,0.0009088675020936,0.0,0.1007876461550967
9,0.0394090552387763,0.0117064298182249,0.0,0.0450258142520299
10,0.2051436154980784,0.10928653552808071,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.012437066693662801,0.0,0.0538205009934139
13,0.0001156738219318,0.0708819718441566,0.0,0.0
14,0.1553305715865085,0.0114752285190601,0.0,0.0
15,0.0282289249913856,0.2981780271700287,0.0,0.0
16,0.1917270074483276,0.0533595620235492,0.0,0.0
17,0.0,0.0,0.0646647506774362,0.0
18,0.0,0.2288557044418756,0.0,0.0
19,0.0,0.0132068615344995,0.0,0.0
20,0.0436252768115349,0.1022914440537174,0.0,0.0
21,0.0817211127182498,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0150013117731725,0.19075951631839372,0.0,0.0
24,0.20723195143943918,0.3439434600059218,0.0,0.0
25,0.0242984885464288,0.0652127614956818,0.0,0.0
26,0.0,0.026915873254408904,0.0,0.0
27,0.0,0.018219461497401,0.0,0.0
28,0.0,0.0,0.0,0.05305529944645051
29,0.0,0.0644633266403592,0.0,0.0
30,0.0928954448153816,0.0909170832699993,0.0,0.0546139097083044
31,0.07264095803224031,0.0,0.0,0.0
32,0.0,0.0005194810262559,0.0,0.0336086652375459
33,0.0,0.0398864321480985,0.0,0.0
34,0.0019392367163586,0.19299061423490002,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0412885675500152,0.0486127662425155,0.0054192685514384,0.0
37,0.0109474912189879,0.0,0.0,0.0834096982033983
38,0.0,0.1309358727616092,0.0,0.0428554694656617
39,0.0,0.0,0.0,0.0915730336346109
40,0.0536943446639222,0.08082180366017461,0.0,0.0
41,0.0,0.19320774624224524,0.0,0.0
42,0.0,0.0544413919864955,0.0,0.0
43,0.0449605223094738,0.0283379535216736,0.0,0.0
44,0.0,0.3435099762707483,0.0,0.0
45,0.0,0.2291831873681272,0.0,0.0
46,0.4100894368170011,0.12265761470735889,0.0,0.0
47,0.0,0.0,0.0,0.0331473845447804
48,0.14005049534165478,0.0129146007323431,0.0,0.0134670184161072
49,0.1230348224980388,0.1720444626655847,0.0,0.0341345748528945
50,0.0,0.0,0.0,0.0
51,1.2947778412372095,0.0,0.0,0.0
52,0.0,0.0,0.0621905326954206,0.0
53,0.2622549021138881,0.046441776895695605,0.0,0.1924511040325492
54,0.0,1.2531177680407972,0.0,0.0
55,0.0,0.051447866417270595,0.0,0.21309089042133741
56,0.0625354851363613,0.1550683753639653,0.0,0.0
57,0.0,0.0,0.0,0.0321041756992075
58,0.0524489291074288,0.0305623298191439,0.0,0.0
59,0.0051148286272712,0.0,0.0,0.0
60,0.0092969555073778,0.00502747026774,0.0,0.0
61,0.0280711721427013,0.07590400974490791,0.1540963990194772,0.0
62,0.0,0.0,0.0,0.1536448071830565
63,0.0055147531142809,0.0064579211060843,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0778605355956383,0.026074341222537,0.0960408862232938,0.0
66,0.0054535150083483,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.0289215678241818,0.1270980219209415,0.0,0.3960888718167549
69,0.0,0.0,0.0,0.0412084452592407
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,1.4054440383077944
72,0.0,0.18717869897010242,0.0,0.0734755498126065
73,0.0,0.0,0.0,0.0
74,0.0,0.0035845467429047,0.0632561025671948,0.0
75,0.0761102179726356,0.0203810968606805,0.0,0.0
76,0.0476595743828575,0.0,0.0,0.1784719025490065
77,0.0294871801751402,0.1211814646090524,0.0,0.0
78,0.0,0.49608797993779497,0.0,0.0
79,0.0103508771753035,0.10374035033461931,0.1262240483829197,0.0638202249924397
80,0.0240130253218482,0.026619749573110398,0.0,0.0192150196024206
81,0.0,0.2935829649275259,0.0,0.0
