,s-,a-d,e-k,l-r
0,0.0952380943310657,0.2857142829931971,0.2128851520473286,0.3809523773242628
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0111111110117284,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,1.725359453326533,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.2857142826303855,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.2727272701239669,0.0,0.1818181800826446,0.0909090900413223
11,0.3393665184325668,0.0,0.1131221728108556,0.650950227925801
12,0.363636360661157,0.0,0.6666666611111112,2.424242404205693
13,0.4501567392805181,0.6934169268368982,0.6683385572375429,0.2181818179570248
14,0.1666666651388889,0.4999999954166667,0.159999998528,0.6666666605555556
15,1.5422548324637744,0.0,0.5217391258979206,0.5454545407438016
16,0.1095334698583413,0.6580121761854044,0.1095334698583413,0.3286004095750239
17,0.0,0.0,0.0,2.1428571135204084
18,0.0,0.0,0.0,0.0
19,0.6672463706961369,0.159999998528,0.7999999926400001,0.0
20,0.531954885627756,0.1344393601711762,0.1633022790960526,0.1156832307513814
21,0.8695652094517956,0.3478260837807182,0.3478260837807182,0.1739130418903591
22,0.14666666817659252,0.0488888893921975,0.0,0.097777778784395
23,0.1739130418903591,0.3478260837807182,0.5383022725335527,0.5217391256710773
24,0.2962962937722909,1.1851851750891635,0.5925925875445818,0.8888888813168727
25,0.0,0.0,0.0,0.0
26,0.6666666590946502,0.239999997312,0.0,0.9066666564066501
27,0.639999994112,0.319999997056,0.479999995584,0.159999998528
28,0.0,0.0,0.0,0.0
29,0.239999997888,0.7957894668009307,0.239999997888,0.959999991552
30,0.0,0.0,0.0,0.0
31,0.3333333302777778,0.944444436404321,0.1666666651388889,0.9871794797871467
32,0.3266666636668889,0.4933333288057778,0.639999994112,0.159999998528
33,0.0952380943310657,0.3809523773242628,0.0952380943310657,0.2857142829931971
34,0.0,0.0,0.0,0.0
35,0.029473684846626,0.21457490094707318,0.0,0.1295906466193467
36,0.9556650270300173,0.6518883430576247,0.9556650270300173,0.3185550090100058
37,0.416666668611111,0.9903846205941811,0.0,0.6250000029166665
38,0.0,0.3076923050887574,0.3478260840831758,1.003344473255109
39,0.0,1.447619050988843,0.0,0.0
40,0.0657894732124307,0.0,0.0,0.0
41,0.5217391256710773,0.0,0.6956521675614364,0.5217391256710773
42,0.0202429155976167,0.0809716623904668,0.0404858311952334,0.0607287467928501
43,0.239999997888,0.5507692245038107,0.5164835119931168,0.5507692245038107
44,0.0,0.0,0.0,2.9002848759666726
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0909090892561983,0.44696968883034865,0.0909090892561983,0.2727272677685949
48,0.0,0.0,0.0,0.0
49,0.079999998528,0.1666666651388889,0.0,0.0
50,0.0,0.0,0.0,0.1743589756665351
51,0.2573099439207504,0.23888002950269982,0.34683932459902783,0.0
52,0.0,0.0740740750068587,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,1.1381312899637885,0.0
55,0.0,0.2608695629489603,0.3529411735640139,2.5847643190591114
56,0.0,0.4000000031999998,0.0,1.6416666796197907
57,0.0,0.0,0.0,0.0
58,0.0660869566781701,0.0,0.0660869566781701,0.0660869566781701
59,0.4137931001664685,1.960591113143003,0.4285714252040816,0.5665024564050329
60,0.0793650809227063,0.6533333440727276,0.0,0.0793650809227063
61,0.0,0.8114285644186122,0.0,0.0
62,0.319999995776,1.19999998944,0.239999997888,0.079999997888
63,0.5600000036693328,0.2476190484462584,0.7466666715591104,0.3733333357795552
64,0.0,0.0,0.0,0.0
65,0.1296296314729079,0.0952380990929702,0.1296296314729079,0.4116809170333941
66,0.5657894688374308,0.7499999934375,0.2499999978125,0.99999999125
67,0.0,0.0,0.3809523760544218,0.0
68,0.0,0.4545454502066115,0.4545454502066115,0.0
69,0.0,0.0,0.0,0.0869565201512287
70,0.0,0.0,0.0,0.0
71,0.0,2.0105820161809578,0.0,0.0
